lon,lat,flaeche,kaltmiete,europrom2
12.32395,51.3389,499.25,3442.65,6.8956434651978
12.4012779,51.381192,237.44,1129.13,4.7554329514825
12.35538,51.35991,290.24,2220.00,7.648842337376
12.386,51.37386,363.00,1704.00,4.6942148760331
12.3854772,51.3609986,532.08,4104.00,7.7131258457375
12.41824,51.35748,308.00,1379.00,4.4772727272727
12.3868957,51.3420592,284.00,1723.00,6.0669014084507
12.409517825,51.328308125,349.15,1798.89,5.1521981956179
12.26001,51.31035,252.26,1225.00,4.8561008483311
12.360121411537,51.3433732,208.00,1373.00,6.6009615384615
12.41635,51.38141,269.24,1444.00,5.3632446887535
12.41716,51.333,141.87,738.10,5.2026503136674
12.4232711,51.3340424,402.03,2068.00,5.1438947342238
12.377207311778,51.32494255,408.77,2633.00,6.4412750446461
12.3784231,51.3589077,251.74,1374.00,5.4580122348455
12.3129104,51.2755387,145.00,718.00,4.951724137931
12.4025763,51.3420392,214.00,1025.00,4.7897196261682
12.3802152994704,51.38440025,171.93,928.36,5.3996393881231
12.38438,51.34031,216.00,2240.00,10.37037037037
12.483154995442,51.34089345,243.00,1395.00,5.7407407407407
12.41446,51.3544,356.42,1873.00,5.2550361932551
12.4610736,51.282198,272.00,1378.00,5.0661764705882
12.3612398482342,51.33823495,152.00,870.00,5.7236842105263
12.3270183,51.3311297,507.50,4343.50,8.5586206896552
12.3257626,51.3150935,515.06,2534.10,4.9200093193026
12.41428,51.35471,159.00,866.00,5.4465408805031
12.3723719,51.3308301,309.69,2236.33,7.2211889308663
12.409134086337,51.3465562,610.00,2764.00,4.5311475409836
12.4176398,51.3234758,175.50,815.75,4.6481481481481
12.3625138082521,51.3639281,785.00,7215.00,9.1910828025478
12.3214042,51.344547,269.42,1760.00,6.5325514067256
12.3730747,51.3396955,1459.30,8944.00,6.1289659425752
12.38096,51.30395,912.34,6279.12,6.8824341802398
12.3218327,51.3398401,183.59,910.00,4.9566969878534
12.2856115,51.3205097,99.90,452.00,4.5245245245245
12.2760043466465,51.3194211,346.66,1812.13,5.2273986038193
12.453141,51.3455609,386.00,1876.00,4.860103626943
12.3227883,51.3009705,387.00,1945.00,5.0258397932817
12.3171143,51.3462982,234.00,1250.00,5.3418803418803
