name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Kleinzschocher,3,.,5,10,10,5,.,11,4,5,5,3,.,13,9,9,3,18,.,0,0,0,0,13,10,.,3,.,0,22,13,.,.,13,78,130,378,60,13,3,12,13,53,15,29,19,.,26,61,16,26,8,5,6,.,.,0,12,8,.,10,0,.
Großzschocher,.,.,4,9,.,.,.,4,.,0,.,.,0,.,7,.,0,.,.,.,4,0,0,6,4,.,0,0,0,21,8,0,3,.,33,35,63,248,20,5,.,19,16,10,33,9,.,24,18,6,5,7,.,8,.,.,0,.,4,.,8,0,0
Knautkleeberg-Knauthain,.,.,.,6,6,.,.,4,0,0,0,.,0,.,.,0,.,.,3,.,0,0,0,.,0,0,0,0,0,15,8,.,0,3,21,15,13,29,70,14,.,6,7,.,14,6,.,4,16,.,5,0,0,0,0,0,0,.,9,0,.,0,0
Hartmannsdorf-Knautnaundorf,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,.,6,.,11,11,0,0,0,.,3,0,0,0,.,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Schönau,.,0,.,4,4,.,.,0,0,0,0,.,0,7,.,3,.,5,0,4,0,0,0,.,.,.,.,.,0,3,13,.,4,0,6,11,11,7,0,0,97,24,47,13,42,52,0,4,22,8,13,5,10,.,0,0,.,12,.,.,.,0,.
Grünau-Ost,0,4,.,0,.,.,3,0,0,0,0,0,.,5,4,8,3,4,0,4,0,0,0,6,0,4,.,.,0,.,.,3,4,.,3,18,25,4,.,0,16,133,56,10,37,49,.,10,19,8,9,.,3,.,0,.,.,.,5,.,4,0,.
Grünau-Mitte,.,0,9,11,12,6,9,4,.,0,3,.,.,10,8,8,.,10,0,.,7,0,.,21,7,7,0,.,0,3,7,3,22,49,9,31,46,21,3,0,36,48,248,57,79,89,5,24,41,16,15,21,.,4,3,0,0,18,6,4,8,0,3
Grünau-Siedlung,0,0,0,6,5,4,.,0,0,0,0,0,0,3,3,0,0,.,0,0,.,0,.,.,0,0,0,0,0,.,6,0,.,5,7,9,9,5,0,0,5,10,29,32,19,9,4,5,9,.,4,.,.,.,0,0,0,7,.,0,.,0,0
Lausen-Grünau,0,.,4,6,.,8,6,7,4,.,6,0,0,10,5,4,9,10,0,0,0,.,3,12,10,.,3,.,4,7,4,0,6,39,10,37,59,17,7,4,38,20,105,19,428,103,15,17,53,15,31,8,9,12,3,0,6,15,11,10,7,.,9
Grünau-Nord,.,.,.,0,3,0,6,11,.,.,4,.,0,3,5,9,6,3,.,0,3,0,0,8,.,4,0,0,0,3,3,0,.,22,.,11,10,7,3,0,28,11,62,13,80,398,18,7,39,23,14,5,10,9,3,.,.,9,8,0,6,0,4
Miltitz,.,0,0,0,.,0,.,0,0,.,.,0,0,0,.,0,0,.,0,.,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,.,4,8,.,15,24,40,4,8,.,3,.,.,0,4,0,0,.,0,0,.,0,0
Lindenau,.,.,9,15,14,11,4,6,.,.,.,.,0,10,8,4,5,8,.,.,3,0,.,19,12,.,.,0,3,33,15,3,6,7,26,90,22,9,4,.,5,11,9,5,30,20,3,185,138,39,17,9,.,12,.,.,0,22,9,3,6,.,7
Altlindenau,8,14,14,8,33,13,15,24,5,11,18,.,0,22,32,17,5,16,0,3,4,0,0,57,12,7,.,6,.,30,25,7,4,29,36,78,45,14,8,.,10,17,37,7,38,62,5,164,578,53,119,39,13,25,9,6,4,26,16,5,18,.,5
Neulindenau,0,.,4,4,4,3,0,8,5,0,.,0,.,.,3,6,0,6,.,.,0,0,.,11,3,0,.,0,.,14,6,.,.,9,14,22,26,4,.,0,10,16,19,.,22,34,0,47,58,173,28,11,6,10,3,0,5,3,10,3,7,0,.
Leutzsch,.,4,4,10,4,27,10,6,3,8,7,0,0,18,8,11,4,7,.,0,3,0,.,12,13,4,8,0,4,25,9,0,9,12,22,20,11,5,4,0,8,7,17,6,22,14,.,31,139,19,243,30,11,10,7,3,8,14,14,11,11,0,3
Böhlitz-Ehrenberg,0,3,.,.,7,11,9,6,.,4,9,0,0,3,3,8,.,9,.,0,4,0,.,11,3,3,0,0,.,11,5,.,6,14,15,6,11,6,0,0,7,7,6,3,14,9,5,16,58,18,71,372,47,19,12,11,5,8,15,7,4,.,.
Burghausen-Rückmarsdorf,.,0,0,.,.,.,0,0,.,.,.,.,0,6,6,0,0,.,0,0,0,.,0,.,.,0,0,.,0,6,.,0,0,0,7,5,7,0,0,0,4,.,4,5,3,19,.,0,12,4,21,56,86,5,.,0,0,7,0,0,0,0,.
Möckern,4,.,8,10,6,10,8,19,5,10,7,3,0,20,9,5,6,10,0,3,3,3,.,15,7,3,.,.,3,19,8,0,8,6,9,13,3,.,.,0,8,8,6,4,8,.,.,6,19,3,14,9,3,496,81,7,25,125,57,34,41,4,22
Wahren,.,.,4,4,0,3,7,3,.,.,6,.,0,9,8,.,.,.,0,3,0,0,0,11,.,0,0,0,0,8,5,.,3,0,4,9,4,.,.,0,4,.,.,.,9,9,0,7,11,.,22,6,.,96,177,19,35,26,20,15,3,3,8
Lützschena-Stahmeln,.,0,.,.,0,3,.,0,0,6,0,3,0,0,.,0,0,.,0,0,.,0,.,.,0,.,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,.,.,0,.,8,0,9,4,0,21,35,59,4,6,9,.,.,0,.
Lindenthal,0,0,.,3,0,4,.,5,.,.,5,4,0,0,9,0,3,5,0,0,.,0,.,.,.,0,.,0,0,0,.,0,.,.,6,0,0,.,0,0,.,3,5,0,5,0,0,3,12,0,14,3,0,24,42,7,176,17,10,8,12,.,4
Gohlis-Süd,12,18,31,33,49,100,114,22,9,9,13,5,.,40,36,22,16,9,3,7,6,.,6,45,17,6,3,4,4,45,23,7,10,14,36,31,12,5,.,0,3,7,13,5,12,7,0,11,36,3,21,14,9,113,52,4,18,512,201,33,95,3,23
Gohlis-Mitte,6,14,11,11,16,21,63,23,4,8,15,6,0,26,16,15,9,12,.,4,7,0,0,26,13,4,.,.,.,36,6,.,5,7,18,13,3,7,.,0,0,4,12,.,12,9,0,8,32,10,17,7,.,70,14,4,16,209,448,76,103,4,18
Gohlis-Nord,0,.,.,4,.,10,11,3,3,8,4,.,.,4,.,.,4,5,.,.,.,0,0,9,0,0,0,0,0,.,.,0,3,.,.,8,.,.,4,0,4,0,6,0,6,.,.,3,8,3,7,3,0,42,5,3,20,37,103,119,24,0,12
Eutritzsch,5,3,11,13,11,14,31,22,6,14,25,7,.,19,9,11,11,16,3,4,5,0,.,9,14,5,.,0,.,19,8,4,5,8,8,10,4,0,.,.,8,4,6,.,9,6,.,8,23,7,6,8,.,51,16,.,19,81,114,35,459,13,38
Seehausen,.,0,0,0,.,.,0,.,.,0,7,4,.,0,.,.,0,4,0,0,0,0,0,0,3,0,0,0,0,0,.,0,0,.,0,0,0,0,0,0,0,0,0,0,.,.,0,.,.,0,0,0,0,.,7,0,.,8,4,.,7,45,9
Wiederitzsch,0,.,.,.,3,3,16,5,5,4,13,6,.,6,10,.,3,3,0,0,3,.,0,5,7,.,0,3,4,.,.,0,3,8,5,8,0,.,0,0,0,.,12,0,7,0,.,.,10,0,5,6,5,31,14,3,30,36,47,38,51,18,138
