name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,61,11,16,16,13,16,11,.,.,.,3,.,0,3,7,5,0,3,.,0,3,0,0,11,.,4,0,.,0,12,6,.,6,6,9,4,3,.,.,0,.,.,6,.,3,.,0,.,4,.,.,.,0,.,.,.,0,6,5,0,.,0,.
Zentrum-Ost,9,67,57,39,13,12,22,14,6,9,10,.,.,4,14,8,4,12,4,4,4,.,.,34,11,3,4,0,.,14,16,3,10,6,8,9,.,.,0,0,0,0,9,0,.,10,.,5,4,4,4,.,.,4,4,0,3,22,9,3,9,.,0
Zentrum-Südost,14,29,321,60,24,19,34,17,5,.,.,.,.,36,20,27,7,4,.,3,5,0,0,64,21,.,3,5,4,75,29,14,41,16,19,20,10,.,0,0,.,5,21,.,11,5,0,17,13,3,5,7,.,11,5,0,3,18,13,5,24,0,3
Zentrum-Süd,8,21,69,234,48,39,15,.,7,6,.,4,0,24,12,10,7,4,.,0,6,3,.,42,8,9,0,5,3,195,70,10,19,21,33,22,6,3,.,.,0,4,7,3,4,.,0,18,11,11,8,3,.,15,4,3,3,29,17,.,9,.,.
Zentrum-West,20,13,40,43,201,73,26,10,.,.,3,3,.,33,12,7,7,9,.,.,3,.,0,31,16,3,0,.,5,68,24,5,11,7,38,40,5,6,4,0,4,4,18,4,9,3,0,11,33,.,15,6,4,20,.,0,.,35,38,4,4,5,3
Zentrum-Nordwest,15,22,23,26,98,296,47,11,11,3,7,3,0,13,12,10,6,8,.,.,4,0,.,31,7,5,4,10,4,43,18,3,6,3,46,17,8,3,0,.,10,.,4,.,6,6,.,12,32,3,14,5,0,19,6,3,9,55,35,4,18,0,.
Zentrum-Nord,8,7,29,27,21,40,130,13,4,.,7,4,.,21,11,14,9,11,.,3,3,0,4,28,9,5,.,0,5,36,16,4,7,9,10,12,4,.,.,.,.,5,7,.,5,5,0,10,16,.,5,5,5,26,8,0,6,97,37,15,25,7,5
Schönefeld-Abtnaundorf,0,11,8,3,6,7,11,409,93,43,22,26,7,68,67,20,19,20,4,0,6,3,0,24,7,11,4,.,.,12,5,.,0,7,6,10,7,5,0,0,5,0,6,0,6,4,0,3,24,.,25,6,.,20,4,0,9,33,9,5,24,.,.
Schönefeld-Ost,.,.,7,.,6,3,11,143,195,10,17,22,.,18,22,19,25,54,6,3,4,0,0,13,7,0,.,0,.,5,5,.,.,10,.,4,.,0,.,0,0,0,6,.,.,3,0,.,8,4,3,5,0,18,.,0,.,11,11,7,5,6,.
Mockau-Süd,.,0,6,5,3,.,4,21,3,135,71,7,.,7,5,4,14,3,0,.,.,0,0,7,5,.,.,.,0,6,3,0,3,.,.,6,.,0,0,0,.,.,.,0,4,.,0,.,6,0,12,.,0,3,6,0,4,8,12,7,21,4,4
Mockau-Nord,0,.,4,.,3,6,3,29,15,62,287,16,4,5,21,8,7,11,.,0,3,0,.,14,.,6,.,.,0,6,.,3,.,.,.,6,3,.,.,0,.,0,4,3,3,.,.,6,15,5,.,3,.,8,6,0,7,17,22,13,31,9,4
Thekla,.,.,5,.,0,.,0,35,16,27,39,97,15,6,5,0,4,13,11,3,.,0,4,11,9,0,.,0,0,3,8,.,0,46,0,3,.,.,.,0,.,3,3,.,.,.,0,.,.,.,.,0,0,4,.,.,0,3,9,5,8,4,0
Plaußig-Portitz,0,0,0,0,0,0,0,13,.,.,20,6,30,3,.,5,0,.,0,0,0,0,0,.,4,0,0,0,0,.,0,0,.,.,0,0,0,.,0,0,0,0,0,0,3,0,0,.,0,0,0,0,0,.,.,0,.,5,8,0,.,4,0
Neustadt-Neuschönefeld,14,23,39,12,25,11,41,26,18,5,26,.,.,317,164,67,15,34,0,5,3,0,.,95,30,.,.,.,.,31,25,6,15,51,8,21,13,0,.,0,.,4,11,.,5,5,.,14,21,5,6,16,5,10,6,.,4,22,15,.,29,.,5
Volkmarsdorf,.,6,26,8,15,9,16,40,23,3,15,6,.,169,341,59,43,30,4,.,5,.,0,45,11,8,4,.,0,9,17,.,5,49,10,13,14,.,0,0,3,5,9,0,9,13,0,12,13,.,18,5,0,7,.,0,3,11,19,6,18,.,3
Anger-Crottendorf,0,16,30,17,18,17,10,39,7,8,13,3,.,53,54,338,16,22,0,17,11,.,.,138,53,14,3,13,7,27,18,3,6,19,9,11,6,.,3,0,5,6,11,.,10,3,.,5,29,4,11,4,0,12,4,.,5,14,16,.,7,0,4
Sellerhausen-Stünz,0,4,11,4,6,.,.,24,17,8,7,11,.,27,77,35,179,59,.,6,12,.,6,44,21,.,3,0,.,9,7,3,5,12,10,16,3,3,0,0,0,.,5,.,13,6,0,6,22,3,7,4,.,4,.,.,5,12,7,.,6,3,8
Paunsdorf,0,3,14,4,7,.,.,13,18,9,10,14,5,27,53,17,74,587,43,11,36,.,13,42,21,9,.,3,4,13,8,.,18,52,15,7,8,0,0,0,.,.,16,.,3,13,0,4,6,.,11,.,.,8,.,.,0,9,7,6,15,.,8
Heiterblick,0,3,0,.,4,6,.,9,4,4,.,4,.,.,5,.,6,62,60,0,19,0,7,.,7,0,.,0,4,5,0,.,5,0,.,.,0,.,.,0,0,0,.,0,3,.,0,.,.,0,.,.,0,0,0,0,4,0,4,3,4,.,0
Mölkau,0,0,5,0,.,6,0,0,3,0,0,0,0,9,4,14,6,9,5,79,5,.,.,4,28,9,3,6,6,16,5,.,5,4,.,6,.,.,0,0,0,.,3,0,3,4,0,.,5,.,.,.,0,.,0,0,0,17,.,.,0,0,.
Engelsdorf,6,9,6,8,0,0,.,18,17,.,4,8,0,13,8,9,21,47,17,21,320,5,17,13,31,3,0,.,.,7,5,0,.,4,3,4,0,.,0,0,6,0,3,4,3,6,0,4,8,4,.,.,0,4,4,.,.,6,.,.,.,0,3
Baalsdorf,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,4,0,6,15,15,0,5,8,0,0,0,.,0,.,3,.,.,.,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,0,0,0,.,0,0,6,0,.
Althen-Kleinpösna,0,.,3,.,0,0,0,.,.,0,3,3,0,0,0,6,.,40,3,6,11,3,31,9,3,.,0,6,13,0,3,0,4,0,.,.,.,0,0,0,.,0,.,0,3,0,0,.,0,.,.,0,0,4,3,6,0,5,3,4,0,.,.
Reudnitz-Thonberg,13,9,95,45,22,27,26,33,16,8,20,5,.,114,67,148,26,33,6,19,11,6,.,574,147,12,17,14,16,75,30,15,20,30,24,36,15,5,5,0,.,3,21,3,12,9,0,21,49,8,10,8,5,12,4,0,6,36,28,9,33,4,5
Stötteritz,4,5,48,9,7,8,5,17,8,3,11,5,.,35,22,59,36,24,.,29,10,.,4,157,520,36,19,16,22,51,41,12,19,23,8,11,8,3,.,0,.,5,10,0,5,13,.,6,14,4,5,.,0,6,8,.,3,21,22,.,13,.,5
Probstheida,.,11,12,6,9,8,.,5,10,.,.,.,0,8,12,9,8,8,3,4,3,.,.,21,42,114,50,13,11,21,17,8,30,4,0,5,5,0,0,0,.,6,.,.,.,5,.,.,6,0,3,.,0,.,.,0,3,6,3,.,5,0,.
Meusdorf,0,3,3,.,0,.,.,3,0,.,.,.,0,.,3,3,.,.,.,0,.,0,0,10,15,22,44,7,6,4,10,.,10,8,4,.,.,0,0,0,0,0,0,0,0,.,0,0,5,.,4,0,0,.,0,0,0,3,4,.,6,0,0
Liebertwolkwitz,0,5,.,5,.,9,.,6,.,4,0,0,0,4,5,4,.,7,.,3,5,4,0,10,19,18,7,152,26,6,13,0,3,0,5,.,3,0,.,0,0,.,.,.,3,3,0,3,5,0,0,.,0,0,.,0,0,.,.,0,.,0,.
Holzhausen,.,0,6,.,3,4,0,7,0,0,.,.,0,4,7,4,.,3,4,5,6,5,5,12,32,8,9,24,122,17,6,5,3,.,.,.,4,.,0,0,.,0,4,0,0,.,0,0,3,0,0,5,0,.,3,0,0,3,3,.,7,.,.
Südvorstadt,15,17,95,227,84,80,39,19,77,4,5,0,.,45,41,45,10,24,6,7,7,0,.,97,38,23,3,7,6,1061,328,29,52,15,86,65,24,4,7,0,3,9,7,4,16,11,0,28,42,8,13,8,3,19,9,.,.,50,35,5,18,.,4
Connewitz,5,7,47,58,25,15,14,3,5,6,13,.,4,30,14,24,4,6,.,.,3,.,0,51,42,9,3,.,.,366,675,29,50,35,40,24,14,14,4,0,.,6,6,3,16,8,.,15,25,.,7,.,.,8,.,.,.,40,17,4,12,.,4
Marienbrunn,0,.,6,7,.,0,.,.,0,0,6,0,.,3,4,4,0,3,0,0,.,0,0,9,5,3,0,0,3,22,29,103,38,9,.,3,.,0,.,0,0,.,5,.,.,.,0,0,3,.,0,0,0,.,0,0,.,4,4,.,.,.,.
Lößnig,6,7,36,17,5,3,5,4,0,.,6,7,0,10,11,11,5,9,0,.,3,0,0,26,18,8,6,4,3,66,93,44,485,56,.,17,5,.,4,0,3,14,9,.,8,6,0,9,11,.,5,.,.,7,3,0,.,7,.,.,3,.,.
Dölitz-Dösen,0,0,0,14,.,.,.,5,.,0,.,.,0,4,4,0,.,4,0,.,.,0,.,6,7,6,5,4,.,16,36,.,38,88,7,.,5,.,0,0,.,.,.,0,4,5,0,3,4,4,.,0,0,.,.,.,.,.,9,4,.,0,0
Schleußig,10,11,24,51,41,25,16,16,3,4,5,.,.,12,11,16,.,11,.,4,3,3,.,30,15,3,0,0,3,118,39,7,11,7,459,144,53,9,10,.,6,5,11,3,7,18,.,38,37,5,6,.,4,11,4,4,0,31,19,.,11,.,3
Plagwitz,5,15,30,37,49,25,17,12,8,.,7,4,3,28,34,17,14,6,.,3,3,0,3,44,23,.,4,3,3,68,31,3,6,14,153,413,101,39,5,.,9,17,37,8,41,34,7,71,92,19,25,12,5,9,6,4,4,31,15,4,12,.,5
