name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,38,10,12,17,20,8,6,4,.,.,3,0,0,.,0,5,.,5,0,.,.,.,0,9,3,.,.,0,0,18,5,.,4,0,6,6,.,.,.,0,0,.,4,.,.,.,0,4,5,3,.,4,0,3,.,0,0,3,.,.,5,.,0
Zentrum-Ost,5,56,15,21,17,5,21,6,9,.,.,4,3,21,11,8,4,12,3,3,4,0,0,16,22,4,4,3,3,22,5,.,3,.,13,6,4,.,0,.,0,.,4,.,5,3,.,3,8,0,3,5,0,6,4,.,.,16,7,3,10,.,6
Zentrum-Südost,8,28,387,72,33,22,28,6,5,3,7,0,0,31,29,26,5,16,3,6,.,.,3,65,29,8,.,.,10,87,37,23,59,25,23,21,13,.,.,.,.,13,30,3,3,5,0,18,18,.,7,0,0,7,6,.,.,21,19,3,11,0,4
Zentrum-Süd,13,17,96,224,72,29,30,7,3,.,8,.,0,21,15,13,.,7,.,0,7,.,.,38,22,6,3,.,7,225,78,6,11,9,38,20,6,6,7,0,3,.,3,.,8,3,.,19,20,5,7,4,.,8,3,.,.,36,20,3,14,.,.
Zentrum-West,23,25,42,87,291,65,39,8,3,7,4,0,3,16,16,18,4,13,0,.,4,0,0,37,16,4,.,.,5,91,32,.,16,.,40,40,6,3,.,0,5,3,8,4,9,6,0,18,33,7,11,3,5,15,.,0,.,36,33,5,6,3,.
Zentrum-Nordwest,21,10,30,44,96,322,47,13,4,.,7,4,0,20,15,14,.,10,5,.,7,0,0,27,12,.,5,22,.,62,15,.,11,3,21,16,10,3,8,0,8,.,10,3,11,6,0,12,34,4,12,19,.,11,.,5,11,52,17,13,15,.,9
Zentrum-Nord,12,15,26,16,33,42,110,14,3,10,6,6,.,17,8,17,.,9,.,.,.,0,0,21,4,3,.,.,.,26,9,5,10,7,16,22,8,.,.,.,3,3,16,3,.,6,0,16,23,.,5,3,.,29,4,.,7,57,60,14,40,.,4
Schönefeld-Abtnaundorf,4,9,17,5,8,8,10,436,77,38,39,12,4,85,90,23,37,42,4,.,7,6,.,33,22,3,7,.,4,17,12,0,6,.,.,8,5,.,3,0,.,7,7,0,8,5,0,5,27,8,12,.,3,13,3,4,6,27,14,5,42,.,9
Schönefeld-Ost,.,.,7,5,0,0,.,110,173,4,11,6,.,19,32,6,27,25,3,3,12,.,.,12,10,3,0,0,0,3,0,0,6,.,.,10,3,.,3,0,.,.,6,0,.,.,.,.,.,.,11,.,.,7,.,.,.,10,7,.,18,0,5
Mockau-Süd,.,.,4,0,0,.,.,45,7,113,60,13,8,8,10,8,10,10,0,.,4,0,0,4,5,0,0,0,0,3,0,.,0,0,4,.,.,.,0,0,0,.,0,.,8,6,0,0,4,.,3,5,0,3,0,0,0,7,8,8,12,7,6
Mockau-Nord,3,0,6,7,3,7,3,31,9,60,225,27,6,23,9,8,10,11,.,0,.,3,.,15,8,3,.,3,3,5,.,0,4,0,0,4,4,3,.,0,4,0,9,0,7,6,.,3,6,3,5,3,.,8,5,6,3,22,16,17,23,7,.
Thekla,0,3,.,.,.,.,.,36,15,18,43,116,20,7,3,.,13,22,5,4,.,0,0,0,.,5,.,0,3,3,3,0,0,0,.,.,.,0,.,0,3,.,.,.,.,.,0,.,.,3,.,.,0,4,8,3,.,4,12,3,9,4,9
Plaußig-Portitz,0,0,0,.,.,3,0,7,.,5,8,4,23,0,0,0,0,3,0,.,4,0,0,3,0,.,0,0,0,.,0,.,0,0,4,0,.,0,0,0,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,0,3,8,0,7,.,0
Neustadt-Neuschönefeld,13,15,47,12,15,5,15,29,10,7,6,.,0,335,131,59,26,29,0,7,3,.,0,116,20,5,.,.,.,30,25,0,20,21,11,16,16,3,.,0,10,4,16,.,.,7,0,17,31,5,11,4,.,10,.,.,3,27,11,4,10,.,4
Volkmarsdorf,4,11,19,11,11,.,17,39,21,5,8,0,.,147,299,59,30,50,4,6,4,0,0,48,9,6,6,.,5,14,18,3,7,5,.,9,15,6,.,0,3,3,7,.,13,11,0,8,32,0,15,5,0,6,6,.,.,12,7,.,8,0,.
Anger-Crottendorf,3,10,31,12,8,7,14,24,6,.,3,3,.,47,88,348,36,41,0,20,17,.,.,146,56,7,4,7,10,24,21,5,9,7,7,9,10,.,6,0,.,3,.,.,4,.,0,7,21,4,8,0,.,9,8,0,3,21,7,0,7,.,.
Sellerhausen-Stünz,0,0,12,7,6,.,6,11,12,7,8,3,0,40,49,42,193,67,4,5,8,0,.,21,10,.,0,6,.,5,14,.,3,.,.,6,5,.,0,0,6,0,.,0,9,.,.,.,5,.,4,.,0,7,6,0,0,13,5,8,5,.,10
Paunsdorf,5,7,12,5,.,8,.,25,23,15,9,12,3,30,47,23,95,497,60,16,34,.,11,19,20,4,8,3,9,8,16,.,14,7,3,16,9,7,.,0,4,.,9,.,12,6,0,4,6,4,8,.,.,23,3,0,3,13,17,.,15,5,3
Heiterblick,0,0,3,3,0,0,.,.,.,3,.,0,0,.,4,5,7,54,61,.,8,0,0,4,4,0,0,0,.,5,4,.,0,0,.,.,.,0,0,0,.,0,3,0,0,0,0,0,.,0,4,.,.,.,0,0,.,0,4,6,0,.,3
Mölkau,0,.,5,5,8,3,3,6,.,.,.,8,0,6,14,11,5,7,4,86,18,6,4,22,26,3,3,3,6,13,8,.,9,.,10,0,0,0,0,0,.,0,0,0,.,0,.,.,.,.,0,0,0,4,0,.,0,5,4,.,3,0,10
Engelsdorf,0,.,10,.,0,3,.,23,9,.,4,0,0,5,6,37,9,67,12,20,299,4,28,13,14,3,3,.,9,16,3,6,.,0,3,4,.,.,0,0,0,0,4,.,.,0,0,5,8,.,.,.,0,.,.,0,.,3,10,.,4,4,6
Baalsdorf,0,0,.,.,.,0,0,0,5,0,0,0,0,0,.,8,0,11,0,.,0,5,0,4,6,0,0,0,11,.,0,0,.,.,0,3,0,0,0,0,0,.,0,0,0,.,0,0,0,0,.,.,3,.,.,0,0,0,4,0,0,0,0
Althen-Kleinpösna,0,5,.,.,0,0,0,6,.,0,6,.,.,0,6,3,5,7,6,6,20,5,17,.,6,4,0,.,5,.,.,0,0,3,3,0,0,0,0,0,0,4,.,0,.,.,0,.,5,0,.,.,0,.,.,0,0,4,.,0,.,0,.
Reudnitz-Thonberg,14,33,99,47,19,21,34,37,14,9,19,8,.,104,78,196,25,47,4,18,14,3,10,646,144,25,17,5,18,95,53,16,27,12,23,35,7,8,0,0,12,8,21,.,10,10,3,17,35,.,6,7,3,20,4,3,4,22,21,5,25,.,9
Stötteritz,.,12,34,19,14,14,12,13,3,10,20,4,.,41,32,86,13,23,.,23,7,.,5,175,582,43,17,14,41,64,30,13,23,7,17,13,9,9,.,.,.,.,5,.,12,11,0,16,17,4,6,3,3,11,9,0,3,15,11,5,17,3,5
Probstheida,0,8,4,.,0,3,7,3,5,3,4,.,.,8,9,16,5,5,5,9,4,3,0,15,30,124,21,31,10,17,6,11,16,.,3,3,0,3,0,0,.,0,5,.,3,4,0,.,6,0,4,0,0,.,0,0,.,.,15,.,4,.,3
