name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Meusdorf,0,7,.,0,0,4,0,8,.,0,.,0,.,5,.,0,4,3,0,.,4,0,0,0,14,15,33,10,9,6,9,0,6,4,.,.,3,.,0,.,0,0,0,0,.,.,0,.,.,0,.,.,0,5,6,0,0,10,.,0,4,0,0
Liebertwolkwitz,.,0,7,.,.,6,.,3,.,0,0,5,0,6,.,3,0,5,.,4,6,0,0,5,13,17,13,165,19,3,3,0,5,11,.,5,.,0,0,0,0,5,0,0,.,.,0,3,.,0,0,0,.,.,.,.,0,.,5,0,5,.,.
Holzhausen,.,0,.,3,.,8,0,0,.,.,.,.,0,6,.,8,.,7,4,9,9,0,4,12,16,6,5,12,127,11,.,7,.,0,3,.,0,0,0,0,0,.,.,0,4,0,0,0,.,0,0,0,0,6,.,0,.,5,.,0,5,.,.
Südvorstadt,9,23,104,199,81,55,31,16,10,4,12,3,.,60,22,41,10,8,.,11,12,.,.,152,46,15,.,6,12,1111,326,18,40,19,101,59,28,8,7,.,4,4,11,3,19,12,.,28,56,9,12,9,6,15,8,0,3,63,34,8,21,.,6
Connewitz,5,5,35,86,33,19,14,11,3,.,.,3,0,27,18,30,7,13,0,11,8,.,3,44,32,9,3,4,6,396,826,24,58,14,45,31,12,.,.,5,4,.,10,6,8,8,0,11,36,7,4,11,4,10,3,.,.,33,15,4,16,.,4
Marienbrunn,0,3,14,7,.,6,3,5,.,.,4,.,0,4,6,5,3,3,3,.,0,.,0,9,16,9,0,.,0,61,67,146,68,11,5,.,4,.,0,0,.,3,7,0,.,11,0,.,4,.,4,3,3,.,0,.,0,7,4,.,8,.,.
Lößnig,.,.,22,6,0,3,9,4,.,0,4,4,0,5,7,10,3,12,5,5,.,0,.,12,13,23,15,9,5,39,84,49,411,72,8,6,5,3,0,0,0,7,9,0,17,.,.,3,4,4,7,8,0,3,.,.,0,11,.,3,11,.,3
Dölitz-Dösen,0,0,5,9,.,.,4,.,0,0,3,.,0,.,0,4,.,.,0,6,.,0,3,7,5,4,7,.,.,31,42,3,40,91,6,5,3,4,4,0,0,5,3,0,.,.,.,6,.,0,3,.,0,.,0,.,0,3,0,3,9,0,0
Schleußig,5,6,21,47,56,33,29,4,.,.,4,.,.,18,15,13,.,3,0,.,.,0,0,49,17,6,.,.,3,104,47,.,5,.,481,132,35,13,5,.,4,9,10,4,10,4,6,41,49,5,8,.,5,7,0,0,0,36,28,.,12,.,4
Plagwitz,.,13,23,29,53,34,15,5,3,.,9,.,0,34,13,6,3,15,.,4,.,0,4,45,13,4,.,3,.,68,61,8,7,4,155,393,117,38,6,3,12,21,26,7,25,21,6,96,75,34,23,5,6,13,7,0,.,24,14,10,12,0,.
Kleinzschocher,6,5,6,5,5,10,10,10,0,0,8,0,0,20,6,24,4,11,.,0,8,0,0,22,16,6,.,3,0,33,15,3,12,.,74,103,363,48,25,8,14,16,78,13,34,9,3,32,55,10,7,6,.,18,7,.,3,7,4,5,9,.,0
Großzschocher,3,.,5,4,3,3,0,4,0,0,.,.,.,3,.,7,8,3,.,4,3,0,0,.,6,.,.,.,0,7,5,0,5,4,29,37,76,240,30,7,6,20,18,7,27,10,.,4,15,5,14,3,.,3,.,0,.,3,.,0,.,0,0
Knautkleeberg-Knauthain,0,0,0,8,.,4,0,0,.,0,.,0,0,4,.,0,0,4,.,.,0,0,0,.,4,0,0,0,0,16,11,.,.,.,12,16,16,28,67,13,.,.,5,0,4,.,0,3,.,5,6,.,.,6,6,0,0,6,6,0,.,0,.
Hartmannsdorf-Knautnaundorf,0,0,0,0,0,4,0,0,0,0,0,.,0,4,0,.,.,0,0,0,0,0,.,0,0,0,0,0,0,.,.,.,0,0,7,14,.,6,13,11,0,0,.,0,0,0,0,0,.,0,.,3,0,0,0,0,0,0,0,0,0,0,0
Schönau,0,.,.,0,7,4,.,7,3,0,.,3,0,.,3,.,0,3,.,4,5,0,0,.,5,.,0,.,0,.,.,4,4,3,4,15,8,5,.,0,118,39,56,.,54,50,.,11,18,4,12,7,0,6,.,0,.,7,.,3,.,0,0
Grünau-Ost,.,.,3,0,4,0,0,.,.,0,.,.,0,3,.,.,.,8,.,0,.,0,0,.,.,0,.,4,.,7,5,0,4,4,5,12,21,6,.,0,10,111,41,3,42,39,0,3,16,7,3,3,0,4,.,0,0,5,.,0,5,0,0
Grünau-Mitte,.,4,11,.,.,4,8,5,5,3,10,0,0,6,8,11,.,7,.,3,.,0,.,14,5,.,.,0,.,7,5,0,7,11,3,14,40,13,10,.,35,26,334,18,161,67,3,19,48,10,13,7,.,4,7,0,4,9,5,5,7,0,.
Grünau-Siedlung,0,0,.,6,.,3,6,3,.,0,0,3,0,0,.,.,0,0,.,0,0,0,.,0,.,0,0,0,0,4,.,0,.,0,0,7,8,7,0,0,4,3,19,15,26,3,8,5,.,7,3,.,0,0,0,0,0,0,4,0,.,0,0
Lausen-Grünau,0,9,6,5,4,4,0,14,.,.,5,.,0,.,18,12,7,8,0,.,4,0,0,4,6,0,.,.,0,9,.,.,.,3,6,28,42,23,7,.,18,22,49,19,564,51,12,18,20,10,21,10,3,10,3,.,.,8,7,0,4,.,0
Grünau-Nord,0,4,11,0,.,3,6,3,3,0,.,.,0,3,6,0,4,.,0,0,0,.,0,.,6,0,0,.,0,6,7,6,5,0,3,28,9,3,3,0,16,22,58,3,143,292,20,12,44,.,12,11,4,5,.,.,0,12,6,15,7,.,.
Miltitz,0,0,0,0,3,5,.,.,0,0,.,0,0,0,.,0,.,.,0,0,.,0,.,.,0,3,0,0,0,0,.,0,0,0,.,.,.,0,0,0,.,0,5,0,7,14,29,3,5,0,0,.,.,0,0,0,0,0,.,0,0,0,.
Lindenau,.,.,13,13,13,10,9,.,4,4,3,.,.,17,14,13,7,7,0,.,.,.,0,13,7,.,5,.,.,27,17,4,8,.,43,82,25,7,3,0,10,.,22,6,6,25,3,211,168,23,33,13,3,3,3,.,.,10,14,4,5,.,.
Altlindenau,3,.,8,12,30,23,20,6,11,7,5,0,0,23,20,17,8,19,.,.,3,0,.,26,6,3,6,4,4,37,19,6,7,7,42,113,58,13,9,0,12,16,49,5,34,36,.,142,626,32,133,45,10,12,4,.,.,24,10,3,17,.,5
Neulindenau,0,0,3,6,14,5,0,3,3,3,4,0,0,7,3,0,0,7,3,.,.,.,0,11,4,0,3,.,0,18,8,.,.,.,7,43,38,6,3,0,12,29,33,.,21,16,0,22,84,174,23,13,6,6,4,0,.,3,.,.,.,.,.
Leutzsch,0,.,10,11,21,12,11,8,0,3,7,.,0,.,11,4,6,9,.,.,.,0,0,4,9,4,.,.,0,8,11,.,0,0,12,19,13,.,4,0,8,5,11,11,26,17,3,34,162,31,314,57,4,20,12,0,.,20,5,3,9,.,5
Böhlitz-Ehrenberg,.,.,5,9,9,3,11,7,9,0,0,0,0,.,3,4,3,.,.,3,0,0,0,6,6,0,0,.,0,3,.,0,.,0,9,14,4,10,.,0,3,11,10,5,9,10,4,7,60,9,60,372,41,8,7,5,4,24,14,3,9,.,4
Burghausen-Rückmarsdorf,0,0,0,0,.,.,0,.,0,0,.,.,0,0,0,0,0,0,0,0,.,0,0,3,0,0,0,.,0,4,6,0,.,0,9,4,3,6,.,0,6,5,5,0,12,6,5,5,28,5,4,24,71,6,3,0,.,.,.,0,0,0,6
Möckern,.,6,13,11,9,17,16,14,11,15,18,8,.,9,13,11,5,15,0,.,.,.,0,27,17,0,3,4,.,18,14,0,7,5,8,13,8,5,0,0,6,.,10,3,24,14,.,8,15,4,11,4,.,531,70,15,28,129,80,41,39,0,11
Wahren,0,.,3,4,7,4,7,8,3,3,5,0,.,4,3,7,.,9,.,.,0,0,0,11,3,.,.,0,0,7,.,.,.,.,.,9,10,5,.,0,6,.,5,.,19,6,0,5,16,4,12,9,.,93,185,23,52,39,21,6,12,.,6
Lützschena-Stahmeln,0,0,3,0,0,0,.,3,0,0,.,0,0,.,.,0,0,0,0,0,0,0,0,.,.,0,0,.,0,0,.,0,3,0,0,3,0,0,.,0,0,0,.,.,.,.,0,0,.,0,3,7,4,15,14,64,3,13,8,3,.,0,0
Lindenthal,0,.,.,.,0,6,.,5,3,0,5,0,0,3,3,3,.,12,.,0,.,0,0,3,3,0,0,0,0,5,7,0,.,0,0,.,0,0,0,0,0,3,3,0,.,.,.,.,11,0,4,7,.,27,40,3,251,26,15,9,11,13,29
Gohlis-Süd,10,18,14,22,24,61,95,28,11,4,17,5,0,40,29,22,8,15,.,0,4,.,.,32,28,4,.,4,5,58,17,3,9,5,35,25,13,6,5,.,0,9,13,5,12,12,.,22,40,5,5,5,4,89,30,12,10,473,169,38,68,3,14
Gohlis-Mitte,.,9,17,13,26,19,48,18,7,16,17,7,4,32,13,7,6,20,5,4,3,0,.,25,13,6,.,0,.,35,26,6,9,.,11,15,8,7,3,0,.,3,7,.,14,5,.,12,21,8,22,7,4,73,23,6,10,192,430,58,75,3,18
Gohlis-Nord,0,.,3,.,4,.,14,7,3,5,26,.,0,4,.,.,.,.,.,0,.,0,0,4,7,0,.,0,0,10,.,.,.,0,3,5,.,.,0,0,0,.,12,.,6,.,0,4,5,0,.,3,0,36,10,.,6,60,77,141,25,.,19
Eutritzsch,3,6,10,9,6,27,37,22,11,19,34,4,0,22,29,12,6,13,.,.,3,0,.,17,9,4,.,.,.,14,16,.,5,8,11,17,9,4,.,.,6,.,11,.,7,6,0,9,9,.,8,7,.,27,13,.,7,66,145,34,391,3,34
Seehausen,.,0,0,0,.,.,.,.,.,0,3,4,.,3,0,8,.,.,3,.,0,0,0,4,0,0,0,.,.,.,4,0,.,0,.,0,0,0,0,.,0,.,.,0,.,0,0,0,0,0,6,0,5,.,.,0,5,8,7,0,3,42,9
Wiederitzsch,0,0,7,.,.,5,10,17,5,3,5,.,0,8,0,.,4,6,5,0,3,0,0,3,.,.,.,0,0,6,.,0,8,0,4,6,.,.,0,0,0,0,3,0,.,0,0,4,3,0,.,4,0,18,12,.,18,28,41,14,31,8,150
