name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,36,9,18,10,27,7,11,4,.,.,.,.,0,9,7,4,0,7,0,0,.,0,0,14,12,.,.,0,0,15,5,0,3,0,.,4,4,0,.,0,.,.,.,.,3,.,0,.,4,.,6,3,0,7,.,.,.,.,3,.,4,.,.
Zentrum-Ost,7,36,33,9,7,5,16,10,9,.,5,4,0,35,10,4,8,10,4,5,4,0,0,24,16,.,.,.,4,20,19,.,4,.,5,7,.,.,0,0,3,0,4,.,7,0,0,.,14,.,11,3,.,8,4,0,.,11,13,.,9,.,.
Zentrum-Südost,12,30,289,53,39,14,31,6,6,3,4,3,0,35,19,30,3,15,.,.,7,.,.,64,19,0,4,3,.,74,32,16,63,24,14,27,5,.,.,0,7,7,39,.,8,13,0,10,21,7,6,4,3,10,4,0,.,26,11,.,11,.,.
Zentrum-Süd,5,19,89,218,63,31,24,6,8,5,.,3,0,27,18,22,5,14,4,.,.,7,0,49,34,7,3,6,7,236,70,7,18,7,28,35,12,5,5,0,3,.,4,.,10,.,0,15,18,0,10,10,6,4,5,.,.,18,29,.,19,0,.
Zentrum-West,20,16,40,48,218,75,36,11,.,0,0,4,0,20,8,13,8,5,7,.,7,0,0,40,18,4,.,6,.,67,27,5,10,.,38,23,8,8,.,0,8,4,13,.,5,14,.,17,29,4,10,5,0,13,.,5,.,26,17,3,19,0,0
Zentrum-Nordwest,9,9,45,39,118,231,37,14,.,0,.,.,3,27,11,26,4,14,4,3,0,0,0,39,11,4,3,8,4,66,15,.,7,.,28,29,10,6,3,0,6,4,6,.,12,6,3,13,20,4,24,7,.,11,4,.,4,58,34,3,5,.,6
Zentrum-Nord,4,14,32,25,29,34,121,17,3,3,9,.,.,19,10,14,.,13,0,4,6,0,.,27,17,5,0,3,4,21,15,.,7,3,14,8,7,6,.,0,.,3,9,.,4,10,.,6,25,3,23,6,0,43,9,3,6,84,56,11,32,5,9
Schönefeld-Abtnaundorf,5,13,9,5,9,9,3,425,79,32,30,17,5,45,70,26,27,57,3,.,7,.,.,35,9,0,4,.,0,11,15,5,5,7,4,.,13,6,.,.,0,.,7,0,6,7,0,8,13,0,14,3,.,21,7,.,3,22,21,9,14,.,8
Schönefeld-Ost,0,5,.,5,0,3,.,121,164,15,15,12,0,15,35,17,36,31,6,.,6,0,0,14,12,0,3,0,.,.,4,0,3,.,6,.,.,.,3,0,.,10,5,0,7,7,0,.,5,.,15,3,.,19,.,0,0,5,15,.,9,.,0
Mockau-Süd,.,4,.,3,0,0,4,22,13,104,63,16,4,13,12,5,3,12,.,0,5,.,0,9,.,.,0,6,.,.,.,.,4,0,0,4,0,.,.,0,0,.,3,0,7,4,0,.,.,.,0,0,0,4,.,0,0,8,6,.,15,5,8
Mockau-Nord,.,3,7,3,5,3,3,31,12,72,210,43,8,6,10,4,5,18,.,0,.,0,.,6,7,.,0,.,.,6,.,0,3,.,0,3,.,3,.,0,.,.,.,.,11,5,0,.,11,4,8,.,0,9,3,0,3,18,15,10,35,9,3
Thekla,0,0,.,0,.,.,.,24,21,19,38,115,18,5,5,.,3,11,4,.,.,0,.,.,.,0,0,0,0,3,.,.,.,0,.,0,7,.,0,0,.,.,.,.,0,6,0,.,3,4,4,.,.,10,0,.,.,5,12,9,0,9,.
Plaußig-Portitz,0,0,0,4,.,0,.,5,.,3,9,10,29,0,0,0,6,5,0,.,0,0,0,.,.,0,0,0,.,6,0,0,4,.,0,.,.,0,0,0,.,0,.,0,.,0,0,0,.,0,.,0,0,.,0,0,0,0,8,3,0,0,0
Neustadt-Neuschönefeld,3,21,35,19,18,17,17,41,6,6,12,8,.,331,162,42,10,37,.,.,0,.,.,89,21,0,6,4,4,37,19,.,16,9,10,18,5,3,0,0,3,3,6,0,17,6,.,11,29,5,26,7,.,11,3,0,.,34,22,5,13,.,4
Volkmarsdorf,0,6,26,12,7,4,7,26,13,11,9,7,.,146,372,78,45,44,0,4,5,0,4,45,24,3,5,3,4,25,9,.,11,3,8,14,14,4,.,.,.,.,8,.,9,7,0,11,16,5,10,6,.,6,7,.,.,25,11,5,12,0,.
Anger-Crottendorf,8,11,20,14,10,5,7,13,10,11,6,.,3,58,59,337,17,19,4,17,6,4,.,196,53,7,.,3,6,32,21,.,3,.,6,8,5,.,3,.,6,5,5,.,12,3,.,6,29,.,13,.,0,8,.,0,0,16,16,.,15,0,3
Sellerhausen-Stünz,0,4,12,9,5,3,4,33,11,13,6,6,.,20,34,19,172,59,6,10,14,0,4,28,9,0,.,0,4,13,4,0,.,5,3,7,7,.,0,0,.,0,.,0,7,.,.,.,19,0,4,7,0,6,.,0,.,10,8,4,11,5,0
Paunsdorf,.,.,6,.,8,3,6,32,19,11,14,121,3,33,39,28,64,523,57,17,47,4,7,38,22,7,3,.,6,12,9,.,7,5,.,6,4,5,0,0,4,3,5,.,12,13,0,.,21,3,7,.,.,11,3,.,3,13,10,5,8,3,.
