name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Heiterblick,.,5,.,.,7,5,0,11,10,0,5,4,.,21,11,7,6,89,52,.,17,0,0,5,7,3,0,0,0,5,0,0,5,0,.,0,4,.,0,0,.,.,0,0,0,.,0,.,6,0,.,0,.,.,.,0,.,11,.,5,4,.,5
Mölkau,.,7,.,.,.,.,.,13,7,4,3,.,.,5,9,21,4,9,7,86,16,.,3,17,29,3,0,.,8,7,3,.,0,.,.,.,3,0,.,0,0,3,3,.,8,.,.,.,.,.,.,0,.,0,.,0,0,10,3,0,3,0,0
Engelsdorf,0,.,.,4,.,.,0,9,4,3,6,0,3,3,11,12,22,43,29,24,234,7,26,14,11,7,.,3,.,5,.,0,6,0,3,5,.,.,3,0,0,0,6,0,.,3,0,0,3,4,.,0,3,0,.,0,6,4,9,.,.,0,4
Baalsdorf,0,0,0,0,0,0,0,4,.,0,0,0,0,0,0,9,0,6,5,19,5,9,0,11,7,.,0,0,.,.,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,.,0,0,0,0,0,3,0,0,0,0,0
Althen-Kleinpösna,0,.,3,0,0,0,3,.,.,0,.,3,0,6,4,6,.,10,4,12,21,4,47,.,3,0,.,3,4,.,0,.,0,.,3,4,0,.,0,0,0,0,3,.,0,.,0,.,8,.,.,0,0,.,.,0,.,0,0,0,0,0,5
Reudnitz-Thonberg,8,25,99,55,39,16,22,32,9,5,12,4,.,89,66,127,21,44,6,7,7,3,.,638,89,10,12,12,8,74,50,13,30,13,26,21,14,4,.,0,4,.,20,.,21,7,4,14,44,5,8,5,3,24,6,0,3,37,27,4,24,.,.
Stötteritz,4,13,27,20,14,12,5,13,14,4,9,.,0,30,22,65,18,28,10,32,13,.,6,175,642,39,11,11,28,51,22,14,20,20,11,13,8,.,.,.,.,4,10,0,12,4,.,23,18,.,3,3,6,13,.,.,.,14,12,7,12,.,.
Probstheida,.,5,5,5,4,.,0,3,.,3,4,4,.,6,9,6,5,6,3,7,.,0,.,22,22,101,40,11,14,16,15,.,18,7,3,.,8,0,0,0,0,0,4,0,6,4,0,4,6,4,.,0,.,.,.,0,0,9,.,.,0,0,3
Meusdorf,0,.,.,0,0,0,.,.,3,0,.,0,0,5,.,.,.,.,0,3,0,0,0,7,5,15,42,20,6,3,8,4,15,12,5,5,0,.,0,0,.,.,0,0,4,.,.,.,13,0,.,0,0,.,.,0,0,.,4,.,0,0,.
Liebertwolkwitz,0,0,.,11,0,.,0,12,0,0,.,.,0,3,3,8,.,5,0,0,.,0,3,13,17,7,18,150,23,3,4,.,9,8,.,.,.,.,.,0,3,4,.,0,4,.,0,0,5,.,5,.,0,5,.,0,0,5,.,.,3,0,.
Holzhausen,0,3,4,3,4,3,0,5,0,0,0,0,0,4,.,3,4,4,0,21,.,3,.,14,42,11,8,12,141,13,3,0,10,3,3,0,0,.,0,0,0,.,0,0,.,7,0,.,.,0,6,.,.,.,.,0,.,.,0,0,0,.,.
Südvorstadt,19,21,108,198,67,87,45,24,8,5,13,8,.,62,39,36,10,18,6,9,7,.,.,105,50,10,4,4,10,1023,280,22,34,29,80,62,24,5,3,.,7,7,10,5,10,9,3,36,42,8,16,3,6,16,3,.,5,57,52,5,25,.,4
Connewitz,.,0,31,64,34,22,15,12,3,8,5,.,.,23,24,24,9,10,.,.,4,.,4,63,32,10,4,.,5,397,797,25,54,39,39,28,12,6,.,.,.,3,10,.,14,5,0,9,29,3,8,4,.,4,.,.,8,34,11,.,8,0,3
Marienbrunn,0,0,13,5,5,0,4,3,0,.,.,.,0,0,.,4,9,3,4,.,0,0,0,11,8,.,7,0,.,19,26,104,60,7,8,4,5,4,0,0,0,.,.,0,.,.,0,0,4,0,0,.,0,0,0,0,.,.,4,.,.,0,0
Lößnig,.,3,31,16,7,9,17,7,.,.,4,.,0,17,6,15,3,16,0,3,7,0,3,13,19,8,13,3,.,39,72,65,513,69,7,11,10,.,.,0,.,16,10,3,7,8,0,3,14,3,8,0,0,.,0,3,0,14,4,.,4,0,6
Dölitz-Dösen,0,.,.,5,.,0,5,.,0,0,.,.,0,.,0,6,4,5,.,0,7,0,0,7,9,.,8,5,.,16,36,13,29,105,4,5,0,0,.,0,0,.,4,.,.,0,0,.,.,0,.,0,0,.,.,.,0,0,8,0,0,0,.
Schleußig,11,15,22,57,38,39,21,6,3,0,.,.,.,25,16,10,.,.,.,0,.,.,0,50,9,0,.,.,3,145,53,7,9,8,454,145,47,20,5,0,3,9,23,7,13,6,.,50,53,.,15,.,3,.,.,0,0,26,24,.,16,.,.
Plagwitz,.,8,32,49,34,19,11,13,3,7,7,.,.,31,19,22,3,14,.,.,6,.,0,41,27,3,3,.,.,81,54,10,7,3,186,429,110,28,15,0,16,14,36,8,57,25,.,109,86,41,18,14,4,17,6,.,.,33,22,5,19,.,.
Kleinzschocher,.,.,6,10,9,4,5,4,3,3,6,.,0,4,11,14,4,8,0,3,5,0,.,12,17,.,0,3,0,25,.,3,.,5,79,127,289,63,17,8,16,15,33,8,43,17,.,48,37,30,14,.,.,5,4,0,0,16,12,.,3,0,.
Großzschocher,0,.,4,4,5,3,0,5,3,.,3,0,0,13,4,.,.,3,0,0,.,0,0,.,3,0,0,.,.,17,5,0,5,0,27,35,80,218,45,4,27,7,21,3,36,10,.,10,23,5,6,.,0,3,.,0,.,4,6,0,3,0,3
Knautkleeberg-Knauthain,0,.,.,.,6,.,.,.,0,0,.,0,0,0,0,4,.,.,.,.,0,0,0,.,.,0,0,0,0,25,6,0,3,0,22,13,12,46,107,13,.,3,5,0,3,3,.,10,7,0,.,.,0,3,.,0,0,.,0,.,0,0,.
Hartmannsdorf-Knautnaundorf,0,0,.,0,0,.,0,0,0,0,0,0,0,0,.,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,.,9,6,9,20,0,0,0,0,3,0,0,0,.,5,.,0,0,0,0,0,0,.,0,0,0,0,0
Schönau,0,0,8,5,.,4,.,7,3,.,.,.,0,5,7,3,4,5,0,0,0,0,.,6,3,.,0,.,0,8,.,0,.,.,5,19,21,.,4,0,97,18,43,14,36,79,0,9,19,15,20,3,5,10,.,0,0,5,0,3,6,.,0
Grünau-Ost,0,0,3,5,3,5,0,0,0,.,.,.,0,11,11,3,.,0,0,0,0,0,0,5,.,3,.,0,0,3,4,0,.,3,13,4,12,7,.,4,20,106,48,7,61,78,3,10,20,18,9,3,.,4,.,0,0,3,.,4,.,0,.
Grünau-Mitte,0,5,10,3,8,3,4,.,5,3,4,.,0,21,18,9,7,7,5,.,.,0,.,9,.,3,4,.,0,3,11,.,15,8,12,33,36,29,.,0,47,43,305,12,160,133,.,20,42,12,20,16,3,11,6,3,5,13,5,3,11,.,3
Grünau-Siedlung,0,0,.,.,4,4,0,0,.,.,0,.,0,0,.,.,0,0,0,0,0,0,0,7,.,0,0,0,.,6,8,0,5,.,12,5,11,9,.,0,5,4,26,27,25,12,3,.,7,.,0,0,0,.,0,0,0,5,.,0,.,0,.
Lausen-Grünau,0,3,4,6,9,.,4,3,.,6,5,37,.,12,6,.,3,31,0,0,.,0,0,9,6,.,.,0,.,5,5,0,6,.,21,26,37,14,11,0,25,35,55,29,554,107,4,10,28,17,12,11,4,13,11,0,6,11,3,3,.,.,.
Grünau-Nord,.,0,3,.,4,.,7,4,.,.,4,0,0,9,4,10,0,4,.,.,0,0,0,6,7,3,0,0,.,8,6,4,.,7,4,16,7,5,.,0,12,20,52,7,102,392,22,22,28,18,14,14,6,4,.,0,.,5,.,0,3,0,.
Miltitz,0,0,.,0,0,.,0,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,.,4,0,0,0,.,6,0,0,0,0,.,0,4,.,22,30,35,4,9,0,.,4,0,0,0,.,.,0,.,0,0,0,0
Lindenau,0,6,8,4,15,18,8,6,.,.,7,0,.,18,11,9,.,6,.,0,.,.,0,11,7,.,4,0,.,17,13,.,3,3,48,71,19,7,3,.,6,8,14,10,17,27,.,148,116,32,27,8,.,6,4,.,3,13,6,7,5,0,4
Altlindenau,8,9,17,18,20,28,22,16,4,4,12,10,3,28,32,20,11,21,4,.,3,.,0,24,16,3,3,7,3,28,21,3,3,5,40,106,46,10,7,0,18,22,33,5,32,30,3,130,618,56,117,31,19,16,6,.,5,44,19,9,12,.,9
Neulindenau,0,.,11,5,6,5,4,7,.,4,.,9,0,12,4,.,.,.,8,0,.,0,0,11,5,3,0,0,0,5,4,.,.,0,8,16,29,6,0,0,13,22,20,0,16,36,0,37,63,209,24,3,5,4,0,.,0,8,4,3,7,0,3
Leutzsch,.,.,3,5,13,16,6,9,3,4,7,.,.,7,13,11,.,8,0,0,0,.,0,9,8,.,3,0,4,5,9,4,.,4,13,10,18,.,.,.,6,5,15,.,24,16,0,30,170,20,307,33,15,8,3,.,0,9,22,.,16,0,.
Böhlitz-Ehrenberg,0,4,7,4,.,5,.,.,3,0,.,.,0,7,5,.,7,3,0,0,.,0,0,11,9,.,.,.,0,10,8,3,3,.,8,10,14,0,0,0,4,.,14,.,11,.,3,11,65,10,93,398,36,12,8,3,6,14,13,6,6,.,3
Burghausen-Rückmarsdorf,.,0,0,3,4,.,3,.,.,0,7,0,0,3,0,.,.,0,.,.,0,0,0,.,.,4,0,0,.,.,.,0,0,0,0,7,4,0,3,0,7,5,.,.,12,4,.,3,22,3,16,25,87,0,.,.,0,10,.,0,.,0,5
Möckern,.,5,9,3,5,18,22,14,13,4,11,6,.,12,9,10,9,8,3,3,.,0,.,12,11,.,0,0,0,10,6,.,13,3,6,19,7,.,.,0,6,.,12,.,19,9,0,11,32,5,14,7,.,535,78,17,14,122,74,41,42,.,19
Wahren,.,7,6,4,4,9,9,3,4,4,7,.,.,9,3,3,0,4,0,.,.,0,0,7,3,5,.,0,0,8,5,0,.,0,7,5,3,.,.,0,5,.,4,.,11,.,.,6,12,.,13,12,6,99,166,13,41,36,22,4,11,.,6
Lützschena-Stahmeln,0,.,3,.,0,.,0,.,.,0,.,0,0,.,0,4,0,0,0,0,.,0,0,0,4,0,0,0,0,4,.,0,0,0,0,4,.,0,0,0,0,0,.,0,0,0,0,.,7,0,0,8,0,16,25,58,7,10,19,5,8,0,.
Lindenthal,.,.,.,.,4,.,5,6,0,.,7,0,0,5,.,.,0,.,.,0,0,0,0,5,.,0,0,0,.,6,6,.,3,0,.,.,0,0,0,.,4,.,.,.,5,3,0,3,7,.,12,5,.,25,31,.,209,16,39,8,3,3,23
Gohlis-Süd,20,14,28,23,44,53,85,25,13,14,11,6,3,48,16,22,5,11,4,4,3,.,0,37,13,6,.,.,.,40,20,4,8,3,31,20,8,7,.,0,4,6,6,.,18,7,.,19,44,10,22,11,.,117,25,19,16,597,188,32,73,.,19
Gohlis-Mitte,5,6,9,19,27,15,42,21,4,12,10,6,.,22,15,14,8,17,3,3,4,0,.,28,10,10,.,3,0,23,12,0,10,7,11,19,12,7,.,0,3,7,4,.,13,11,0,.,34,6,15,10,5,57,25,12,14,209,491,94,93,.,32
Gohlis-Nord,0,.,4,.,.,7,7,5,0,10,14,4,.,12,4,0,3,3,0,0,0,0,0,3,.,0,.,0,0,5,6,0,7,.,0,8,4,.,0,0,.,.,4,.,6,.,0,4,11,4,4,.,0,34,17,.,10,36,80,160,40,.,18
Eutritzsch,.,.,9,13,14,6,23,23,12,14,27,8,.,24,12,21,4,16,.,3,6,0,3,24,5,.,.,0,.,28,11,0,10,.,6,7,8,.,0,0,5,3,7,0,9,8,0,15,20,.,15,6,4,42,7,3,8,77,118,44,502,5,46
Seehausen,0,0,.,3,.,0,.,3,.,10,10,5,7,3,.,0,.,.,0,0,0,0,0,.,0,0,0,0,.,.,0,0,0,.,3,0,0,.,0,0,0,0,0,0,0,.,0,0,.,0,.,0,3,5,0,0,0,6,9,4,3,60,4
Wiederitzsch,0,0,.,.,.,7,7,8,.,8,9,10,0,9,8,0,0,0,6,0,.,0,0,8,5,.,0,0,.,3,3,.,.,0,4,5,5,4,0,3,0,6,4,0,4,5,0,3,6,.,3,4,8,28,14,3,22,25,49,28,37,7,189
