name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,35,19,14,10,13,7,11,.,0,0,.,.,.,8,4,3,.,.,0,0,4,0,.,10,.,0,0,0,0,13,6,0,.,3,.,.,.,0,5,0,.,0,.,.,.,.,0,4,9,.,.,.,0,3,.,.,0,6,7,.,8,0,.
Zentrum-Ost,6,63,29,10,6,18,14,5,5,.,4,6,0,34,4,13,.,11,0,3,.,0,.,18,6,7,.,.,0,16,6,.,8,5,5,8,4,.,0,0,0,0,4,.,6,.,0,4,13,.,.,.,0,13,.,.,0,11,11,.,3,0,.
Zentrum-Südost,36,90,353,60,31,25,29,17,.,3,8,4,.,28,26,30,13,20,6,4,.,0,0,73,32,.,.,5,3,75,42,23,46,53,20,17,13,6,.,0,4,12,30,.,4,28,0,12,31,4,8,.,.,13,4,.,.,25,9,.,23,0,.
Zentrum-Süd,13,71,50,187,55,32,21,4,5,.,5,3,0,19,16,10,4,17,.,.,3,3,0,44,18,7,3,5,.,196,49,6,13,11,33,37,12,8,0,0,3,4,16,.,8,.,0,11,10,.,4,.,3,16,.,0,3,34,18,.,3,0,4
Zentrum-West,27,18,40,64,234,101,42,10,4,3,3,3,0,22,20,9,4,14,4,5,4,0,0,24,14,3,.,4,5,62,17,6,5,8,38,22,3,.,.,.,3,9,23,5,14,6,.,18,37,.,27,3,.,12,3,.,3,38,21,6,11,.,10
Zentrum-Nordwest,17,8,32,33,84,270,37,5,7,.,5,.,.,14,18,11,3,4,4,.,.,0,.,28,18,.,5,7,0,59,13,3,6,6,22,21,8,5,5,3,3,4,5,.,5,10,3,19,19,.,13,4,.,22,12,.,10,66,35,7,15,0,5
Zentrum-Nord,37,31,35,22,21,27,142,6,8,.,6,5,.,15,15,14,5,6,0,8,3,0,4,43,13,3,.,0,.,29,12,5,5,10,10,8,4,.,.,0,.,3,7,.,7,3,0,16,28,.,7,.,3,10,3,.,4,68,30,9,28,.,4
Schönefeld-Abtnaundorf,3,11,3,7,4,8,18,466,61,34,47,8,0,49,58,13,15,25,10,6,9,3,8,25,15,.,.,.,5,15,14,4,6,3,8,13,5,4,3,0,.,.,8,5,6,8,0,12,31,.,24,3,0,9,6,0,.,29,18,6,25,.,9
Schönefeld-Ost,.,8,7,4,5,7,6,130,246,11,14,11,.,23,37,8,15,38,6,0,6,0,4,20,5,0,.,0,0,9,.,0,.,0,.,4,0,.,0,0,.,.,5,0,7,10,0,.,10,0,3,5,0,14,.,.,.,4,13,8,9,3,.
Mockau-Süd,.,5,4,0,.,.,.,35,9,136,71,9,4,5,18,7,0,10,.,.,.,0,0,.,6,.,.,.,.,8,.,0,.,0,4,.,.,.,0,0,0,0,.,0,3,.,0,.,4,.,5,0,.,3,4,0,.,15,12,4,21,.,5
