name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußig-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Stötteritz,7,16,37,22,18,20,15,17,9,4,5,3,0,36,35,79,31,28,7,19,22,.,6,143,535,43,13,14,33,76,53,28,32,9,20,28,9,.,.,0,5,3,15,.,7,6,4,21,16,3,8,.,0,7,6,0,5,23,19,.,19,.,6
Probstheida,.,3,18,9,9,.,.,5,.,.,5,.,.,14,3,10,4,5,.,7,3,0,.,11,68,115,28,14,8,27,28,23,19,23,3,.,3,4,.,0,.,.,6,3,3,.,.,.,5,3,.,.,.,0,.,0,0,20,8,5,3,0,.
Meusdorf,0,0,.,3,.,0,.,.,4,0,.,0,0,9,.,9,.,.,0,0,0,0,.,8,8,10,21,16,4,.,9,0,9,6,5,3,.,0,.,0,0,.,.,.,0,.,0,.,5,.,.,0,0,.,0,0,0,0,.,.,3,0,0
Liebertwolkwitz,.,0,5,.,.,.,0,.,3,0,0,0,0,.,7,3,7,3,0,5,.,.,4,11,21,12,16,142,19,7,6,0,13,12,0,12,6,3,0,0,0,.,3,0,0,.,0,0,.,0,.,.,8,4,0,0,.,3,4,0,0,0,.
Holzhausen,.,0,4,7,.,0,0,3,.,0,0,0,0,.,3,.,.,4,.,8,7,3,3,16,47,14,.,14,102,6,9,.,.,0,.,11,5,.,0,0,3,.,.,0,.,.,.,.,.,0,.,.,.,0,3,.,.,14,6,.,.,0,.
Südvorstadt,7,23,93,236,69,46,38,22,7,.,13,.,.,27,18,33,6,17,.,4,9,0,0,124,36,16,7,7,10,882,288,22,39,19,82,56,18,7,9,0,6,4,10,3,11,.,.,15,46,6,9,6,3,12,5,3,.,48,40,3,22,3,11
Connewitz,.,9,32,77,15,25,19,12,.,.,5,5,.,19,19,23,4,7,3,3,0,.,.,46,28,8,3,.,8,357,753,21,43,18,36,34,20,8,3,0,.,5,10,5,16,7,.,20,24,3,12,3,.,9,6,.,.,37,12,.,9,.,4
Marienbrunn,0,.,6,10,.,3,7,4,.,.,.,0,0,.,.,11,5,3,0,0,.,.,0,8,16,6,.,0,0,49,46,92,48,3,3,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,.,0,0,.,0,0,.,0,.,.,.,0,.
Lößnig,.,5,34,10,9,6,8,9,4,.,.,.,0,9,6,4,3,16,.,4,.,0,0,15,12,14,6,7,8,45,81,60,320,41,10,3,10,3,0,.,5,10,8,.,.,7,0,4,7,0,3,.,.,7,.,0,0,12,4,12,14,0,.
Dölitz-Dösen,3,.,4,6,4,.,0,4,.,.,4,0,.,11,3,10,.,.,.,0,6,0,3,5,18,8,.,3,0,44,44,8,50,91,9,5,6,0,.,0,.,3,4,.,.,0,0,7,5,6,.,4,.,4,0,0,0,.,12,.,6,.,.
Schleußig,11,10,23,58,55,30,24,10,.,.,0,0,0,13,7,13,0,4,.,4,5,0,0,43,10,.,0,.,6,102,34,4,4,.,395,128,31,12,.,0,3,0,4,0,7,.,0,41,38,3,19,7,4,6,4,.,0,27,14,0,3,.,.
Plagwitz,10,19,34,43,79,28,25,15,4,9,4,.,0,14,14,22,8,6,.,3,5,0,.,36,21,.,7,.,0,101,52,.,6,3,196,388,102,20,9,.,10,12,22,5,27,11,.,62,81,24,31,7,8,12,4,.,5,35,19,10,16,.,6
Kleinzschocher,.,.,11,12,7,9,6,18,3,4,4,.,0,19,12,9,3,9,0,.,.,.,0,16,20,0,.,.,0,45,23,6,3,7,83,124,275,54,16,.,.,19,21,17,27,20,.,51,48,21,21,5,.,6,7,.,.,17,17,8,4,.,3
Großzschocher,.,0,6,4,.,0,4,5,.,.,0,3,0,3,3,.,0,.,0,0,0,0,.,8,3,0,.,.,.,7,6,.,3,.,27,27,67,242,45,9,8,15,13,11,21,11,0,16,9,12,5,.,4,8,0,.,0,8,.,.,3,0,.
Knautkleeberg-Knauthain,0,0,4,3,0,3,.,.,0,0,.,0,0,0,0,.,.,0,3,0,.,0,.,7,0,0,0,.,0,5,.,.,8,3,21,21,19,34,93,11,0,.,.,.,8,4,.,.,5,.,5,0,0,.,3,0,0,8,0,0,0,0,3
Hartmannsdorf-Knautnaundorf,.,0,0,.,0,0,0,0,.,4,0,0,0,6,0,.,0,0,0,0,.,0,0,4,5,0,0,0,.,.,6,0,0,.,6,.,0,6,16,.,0,.,.,0,0,.,0,0,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0
Schönau,0,.,4,0,5,.,7,3,.,0,.,.,0,.,.,.,3,.,0,0,0,0,.,4,0,.,.,.,0,.,.,0,0,0,.,9,5,.,0,0,221,28,32,0,25,20,6,5,20,6,3,6,5,0,0,0,5,3,3,.,.,.,0
Grünau-Ost,.,0,6,3,.,0,3,0,5,0,.,.,.,.,5,.,3,6,.,0,0,0,0,9,.,0,0,.,0,3,.,0,.,0,3,12,26,5,.,0,60,117,42,6,20,32,0,6,18,21,4,5,0,6,3,0,0,3,5,.,.,0,3
Grünau-Mitte,0,3,8,3,5,8,8,19,7,7,14,.,0,12,16,4,4,10,0,.,.,0,0,13,12,.,.,3,.,14,8,.,15,7,10,18,70,21,.,0,105,42,345,7,50,39,.,32,60,31,24,14,7,13,.,.,.,7,.,7,9,.,.
Grünau-Siedlung,0,0,.,3,3,0,.,0,.,0,0,0,.,0,0,3,0,.,0,0,.,0,0,.,5,0,.,0,0,8,.,0,3,.,17,.,10,0,4,0,8,12,26,19,18,8,4,.,6,10,.,0,.,.,0,.,.,4,.,0,0,0,0
Lausen-Grünau,0,.,10,8,.,3,5,5,3,.,14,.,0,10,12,.,.,18,0,0,0,0,0,15,10,.,4,0,0,8,13,4,5,.,7,44,66,50,4,0,42,35,74,11,441,57,11,21,45,31,26,28,4,19,7,3,4,6,8,7,3,.,0
Grünau-Nord,0,0,0,.,.,0,.,4,3,.,.,3,0,.,11,7,3,5,0,0,.,0,0,4,.,.,.,0,.,6,.,0,0,0,0,11,13,19,7,.,69,27,79,8,53,211,14,21,32,28,13,16,.,11,6,0,3,4,4,.,3,0,.
Miltitz,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,.,4,0,0,0,0,4,0,.,0,0,4,.,.,0,6,15,31,0,.,.,.,.,10,0,0,0,0,3,.,.,0,0,0
Lindenau,4,10,25,31,27,15,20,8,.,.,.,.,0,19,13,13,.,6,.,0,.,0,0,27,10,0,.,0,4,56,21,.,3,0,69,121,28,13,.,0,3,4,10,3,10,9,0,171,102,12,17,8,0,13,.,.,0,26,26,4,9,0,.
Altlindenau,.,9,30,27,59,37,24,13,5,5,9,6,.,39,17,39,5,28,5,.,7,.,.,41,16,.,.,5,7,74,36,.,9,.,61,141,54,6,4,.,29,7,42,7,37,26,7,150,483,47,107,27,6,27,10,4,.,41,22,12,10,0,8
Neulindenau,.,0,4,7,10,13,.,14,.,3,6,.,0,3,4,5,5,3,.,0,.,0,0,22,3,0,3,.,3,12,.,.,6,4,16,45,32,8,4,0,24,27,16,.,22,12,5,58,70,184,15,8,6,7,4,0,4,8,14,.,6,0,3
Leutzsch,.,5,8,18,26,13,4,25,4,4,5,.,0,15,8,6,8,12,0,.,3,.,.,15,4,3,.,.,3,23,7,0,5,4,21,29,20,5,.,.,3,4,12,.,25,10,3,41,180,15,259,59,21,19,3,0,4,27,24,4,.,3,.
Böhlitz-Ehrenberg,0,.,4,3,8,6,.,9,.,.,3,.,.,.,8,6,0,6,0,0,0,0,0,.,4,0,.,10,.,6,7,0,3,.,7,10,12,7,0,0,5,3,3,3,15,21,.,20,58,7,49,311,20,8,9,.,11,19,22,3,.,0,4
Burghausen-Rückmarsdorf,0,.,.,0,3,6,0,.,0,0,.,0,0,.,.,.,.,0,0,.,0,0,0,.,4,0,0,0,0,3,.,0,4,0,8,0,0,.,.,0,6,.,3,0,11,4,0,.,7,7,19,45,84,0,3,.,4,3,5,0,6,0,3
Möckern,7,.,7,.,16,18,11,31,5,6,19,3,0,6,18,6,9,3,.,4,4,3,0,26,4,3,4,0,.,15,12,3,6,4,0,18,15,13,.,0,8,3,19,.,8,6,.,6,41,3,18,11,3,482,88,14,23,131,77,43,28,0,6
Wahren,.,.,4,10,4,7,4,6,7,.,4,.,.,16,10,4,5,7,3,.,.,0,0,5,10,3,0,0,0,18,9,.,4,.,5,7,11,8,0,0,10,7,10,0,7,7,.,.,12,6,14,9,0,88,183,28,52,51,41,23,13,0,9
Lützschena-Stahmeln,0,0,0,6,.,3,9,.,.,0,0,0,0,.,0,0,0,.,0,0,0,.,0,.,.,0,0,0,0,0,4,0,0,0,3,.,.,.,0,0,0,3,0,0,.,.,0,.,0,0,0,4,0,12,31,47,8,9,5,.,.,.,.
Lindenthal,.,0,0,.,.,.,5,.,5,.,4,0,.,3,.,3,.,3,0,.,.,0,0,8,.,0,0,0,0,.,3,0,5,.,0,.,5,4,0,0,4,.,0,.,.,.,0,5,4,.,13,5,.,29,45,10,157,32,21,9,18,8,18
Gohlis-Süd,11,10,27,29,43,58,75,24,8,16,14,9,3,35,26,14,12,15,.,11,7,0,.,47,19,4,3,.,.,46,31,.,8,4,24,32,9,5,3,.,5,6,10,5,17,4,.,14,40,5,13,8,5,95,16,11,9,411,172,40,69,4,8
Gohlis-Mitte,7,11,21,22,17,29,58,35,4,11,24,3,4,15,12,13,13,5,3,11,9,0,.,40,21,.,3,0,6,22,10,4,7,.,19,30,14,4,5,0,3,5,16,.,9,5,.,9,36,5,23,10,0,60,40,3,31,232,445,87,89,4,26
Gohlis-Nord,.,3,4,8,4,4,6,10,3,10,20,8,0,0,10,11,.,11,0,0,0,0,3,11,.,.,0,0,0,10,4,0,.,0,.,5,.,.,0,.,0,7,5,0,6,9,0,5,6,6,.,6,0,33,20,.,5,56,100,159,31,4,20
Eutritzsch,6,3,18,14,11,17,42,28,0,30,18,5,.,13,15,20,18,16,3,.,6,0,.,22,13,3,3,.,0,19,8,7,12,5,8,15,5,.,0,0,8,3,7,0,8,4,.,15,20,5,9,10,3,40,7,6,10,99,144,53,378,8,38
Seehausen,0,0,.,0,0,.,.,7,.,.,5,3,.,0,3,0,0,0,0,0,4,.,0,5,0,0,0,0,0,.,0,.,0,0,0,0,0,0,0,0,.,0,.,0,0,0,0,.,0,0,0,5,0,0,0,0,6,3,3,.,4,69,3
Wiederitzsch,5,8,5,4,.,10,11,7,5,5,3,.,.,4,3,3,3,5,0,0,.,0,0,24,4,.,0,0,0,3,5,0,.,0,13,6,0,.,.,0,0,.,.,.,.,.,.,0,4,5,4,.,0,15,7,.,17,27,41,35,12,6,136
