name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußig-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,43,8,10,9,14,9,10,4,0,0,0,.,0,3,3,5,0,3,.,.,0,.,.,4,4,.,0,0,.,9,3,.,3,.,3,5,.,.,0,0,0,.,.,0,0,.,0,.,5,0,3,3,.,.,3,0,0,6,4,.,.,0,.
Zentrum-Ost,5,57,34,17,17,15,27,9,.,0,4,0,.,12,13,6,3,.,0,.,.,0,0,38,8,7,.,.,.,29,6,.,10,0,8,9,.,3,.,.,3,.,6,0,6,.,0,3,6,3,5,.,0,5,4,0,.,7,13,4,6,0,.
Zentrum-Südost,8,27,416,70,42,24,50,13,6,10,4,3,4,44,48,22,9,15,.,.,5,.,0,86,26,7,0,5,5,89,32,13,79,5,15,15,10,5,.,0,5,21,47,4,9,24,.,17,20,6,6,.,0,12,3,0,0,20,23,6,16,.,3
Zentrum-Süd,11,12,86,199,72,30,31,11,7,.,3,3,0,25,10,19,12,12,5,4,.,.,.,51,14,5,.,.,4,263,52,4,16,3,35,30,.,.,.,0,.,.,.,6,.,0,.,15,18,4,12,.,0,6,4,0,.,40,20,10,11,0,11
Zentrum-West,31,13,60,42,208,84,27,8,6,7,7,4,.,13,9,8,4,11,.,3,3,0,.,21,13,3,.,0,7,65,25,8,7,8,25,29,15,4,4,.,3,11,11,3,7,9,.,6,47,4,12,9,3,7,3,.,.,38,18,11,4,0,.
Zentrum-Nordwest,12,14,26,28,78,270,58,5,.,8,4,4,.,23,7,12,8,3,.,6,4,.,4,29,17,.,3,.,.,47,22,4,7,.,26,21,8,4,3,0,3,3,3,0,5,.,.,20,17,6,10,6,.,10,4,0,.,47,20,8,15,0,6
Zentrum-Nord,10,24,40,28,36,51,106,12,9,4,5,3,.,25,13,13,.,7,3,5,5,4,4,49,13,4,.,0,.,35,24,4,13,0,12,6,6,5,0,0,.,4,4,0,14,6,.,8,13,4,12,4,3,14,5,.,3,83,38,13,30,3,6
Schönefeld-Abtnaundorf,0,15,17,13,10,5,14,520,98,61,38,29,4,58,89,34,40,32,4,.,8,.,.,51,43,3,3,.,.,16,10,3,12,.,4,6,12,.,.,0,3,5,13,4,7,5,0,8,26,6,12,8,.,5,3,0,3,21,23,8,33,9,4
Schönefeld-Ost,.,0,.,3,3,4,7,139,150,14,11,16,.,13,27,12,19,34,0,0,6,.,0,57,8,.,.,.,.,3,.,0,6,.,.,7,.,.,.,.,3,.,0,0,6,7,0,.,5,.,.,.,0,7,4,.,3,13,15,7,21,.,5
Mockau-Süd,0,.,7,0,3,3,.,31,6,109,66,18,4,11,6,8,8,9,0,.,3,0,0,9,6,.,0,0,0,12,3,.,4,0,8,3,4,3,0,0,.,.,.,0,.,7,0,3,8,.,4,.,0,9,0,0,6,6,11,16,12,.,7
Mockau-Nord,.,.,8,.,6,.,.,46,23,65,238,30,7,7,11,15,8,24,4,.,3,0,.,21,13,.,.,.,.,9,.,.,8,.,.,4,6,.,0,0,4,0,8,.,8,7,0,3,7,.,4,8,.,22,12,.,.,20,21,23,42,11,7
Thekla,0,.,9,.,4,.,5,24,15,17,30,101,9,.,7,8,5,11,.,3,.,0,.,28,.,0,.,0,0,.,.,.,5,0,0,0,.,5,0,0,.,3,0,0,3,.,0,.,3,.,0,.,.,11,3,0,.,8,3,6,8,.,0
Plaußg-Portitz,0,0,5,0,0,.,0,6,4,.,5,8,30,0,0,0,.,0,.,0,0,0,0,0,5,0,0,0,.,4,0,0,0,0,.,.,0,0,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,5,.,0,9,0,4,0,.,3,.
Neustadt-Neuschönefeld,.,30,55,17,24,11,34,62,9,4,12,5,.,292,147,56,22,34,.,8,6,.,.,111,39,5,.,0,.,47,28,3,18,4,19,14,7,4,.,0,6,6,7,0,12,7,.,22,22,8,9,12,.,8,4,.,3,20,15,9,31,3,.
Volkmarsdorf,.,7,32,11,15,7,21,61,27,.,12,3,.,153,288,76,38,27,6,11,5,.,3,100,23,3,8,0,.,23,11,.,10,3,5,26,8,.,.,0,11,5,10,0,10,4,0,12,29,.,8,10,.,10,3,.,.,12,15,8,8,0,4
Anger-Crottendorf,.,9,34,8,11,3,9,19,7,11,8,3,0,64,66,343,23,36,.,27,.,.,.,125,48,4,3,5,.,18,11,4,10,4,3,16,12,3,.,.,.,.,.,0,10,3,0,6,24,.,14,.,0,15,4,.,.,10,18,.,25,0,.
Sellerhausen-Stünz,.,3,15,6,.,0,6,46,23,3,4,.,.,17,49,35,184,88,8,9,21,0,3,30,12,4,0,.,.,13,.,0,9,0,.,10,.,.,.,.,4,3,6,0,0,.,.,.,14,.,6,3,.,11,.,.,0,11,3,5,7,3,3
Paunsdorf,4,5,11,.,.,4,9,45,36,8,9,5,6,37,31,18,61,432,56,12,45,0,4,60,28,4,3,0,5,12,8,.,7,33,.,5,5,4,.,0,5,14,6,0,8,4,0,10,13,7,12,4,0,13,4,0,5,7,10,12,9,0,.
Heiterblick,0,.,0,0,0,0,0,13,7,.,.,3,0,.,5,7,8,48,55,.,12,0,5,.,.,.,0,0,3,5,.,0,.,.,0,.,0,0,0,0,.,3,.,0,3,.,0,.,0,.,0,0,0,8,.,0,.,0,.,0,7,.,0
Mölkau,.,3,3,5,0,3,3,0,5,0,.,0,0,3,5,17,5,19,3,67,12,8,0,34,29,.,.,.,8,10,.,.,0,4,5,0,0,.,0,0,0,0,.,.,0,.,0,3,.,.,0,0,0,.,.,0,.,0,.,0,0,.,0
Engelsdorf,.,.,4,6,3,0,0,5,5,3,4,5,.,3,14,19,31,51,10,20,283,7,19,11,27,10,0,3,10,8,6,0,.,.,.,5,.,0,0,0,.,4,.,0,5,.,0,0,3,0,0,.,0,5,0,0,4,4,12,3,9,0,0
Baalsdorf,0,0,0,.,0,0,0,0,0,.,0,0,0,0,0,3,0,4,0,7,7,20,.,7,0,5,0,0,12,3,.,0,0,0,.,0,0,.,0,0,0,0,0,0,.,.,0,.,0,.,0,0,0,0,0,0,0,3,0,0,3,0,0
Althen-Kleinpösna,0,0,.,.,0,0,.,0,3,0,.,0,.,0,5,4,.,18,5,3,15,.,29,5,6,.,0,.,0,0,4,0,0,0,0,.,0,0,0,0,.,0,0,0,.,0,0,.,0,0,.,0,0,.,0,0,0,4,0,0,.,0,.
Reudnitz-Thonberg,5,41,210,62,36,41,38,49,22,6,5,7,.,118,73,138,19,39,5,13,12,5,4,707,128,17,8,14,20,121,64,25,35,9,30,34,17,9,3,3,4,12,9,.,11,7,0,20,26,4,9,6,.,23,9,.,3,40,25,9,35,.,7
