name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,49,4,17,6,12,6,9,.,.,0,4,0,0,7,4,3,0,0,.,.,0,0,0,10,.,0,0,0,0,8,4,0,.,0,4,7,.,.,0,0,3,0,.,.,5,.,0,0,4,.,.,.,.,.,.,0,0,10,8,0,.,0,3
Zentrum-Ost,8,39,34,29,16,16,23,5,7,.,.,.,0,28,14,6,11,8,0,5,.,.,0,39,12,3,.,0,.,23,13,.,8,.,3,10,7,0,0,0,0,0,7,0,4,3,.,4,10,.,11,.,.,.,.,.,7,7,15,.,5,0,6
Zentrum-Südost,20,26,457,63,39,17,38,24,6,.,6,.,0,36,44,26,7,23,4,5,.,.,3,82,30,6,.,4,6,82,25,23,63,8,18,18,6,4,.,0,5,21,39,.,12,18,.,14,17,4,4,10,0,12,4,0,.,26,12,.,17,0,5
Zentrum-Süd,8,10,76,193,58,36,23,10,6,4,.,.,.,20,16,17,.,7,0,.,4,.,.,39,14,.,4,.,3,250,79,12,7,14,50,34,12,.,.,.,0,.,4,3,12,.,.,12,17,.,11,7,5,3,.,.,5,31,22,3,6,.,7
Zentrum-West,28,23,41,63,227,70,27,7,5,8,8,10,4,26,17,11,0,4,.,3,0,0,.,47,38,4,.,.,5,55,21,.,12,.,38,53,12,7,.,.,.,7,23,3,15,3,0,13,32,7,8,6,3,12,.,4,3,28,20,15,9,3,5
Zentrum-Nordwest,8,15,30,39,87,205,35,10,4,5,6,0,0,13,8,9,10,.,.,3,.,0,0,41,11,0,.,.,0,44,17,3,6,4,52,29,6,4,.,0,0,5,3,.,.,6,3,14,25,6,17,8,3,17,9,6,4,35,18,7,6,0,.
Zentrum-Nord,15,17,47,37,27,49,137,7,6,6,4,3,.,35,21,7,.,7,.,.,3,.,0,38,8,.,0,.,3,33,13,.,5,0,24,12,8,.,.,0,0,6,.,0,8,3,0,8,18,3,8,10,3,9,7,.,6,42,45,8,33,.,4
Schönefeld-Abtnaundorf,.,8,14,5,9,10,14,410,84,34,38,15,10,52,78,45,33,39,6,3,9,0,3,53,24,3,3,.,5,11,13,4,6,0,4,11,11,.,3,0,0,3,16,0,11,6,0,8,26,11,10,0,0,15,5,.,4,28,31,11,32,.,13
Schönefeld-Ost,0,7,7,.,.,.,7,103,167,5,13,9,0,34,31,14,34,19,9,5,5,0,.,18,10,.,.,4,.,12,3,0,3,.,.,5,.,.,3,0,.,3,9,.,5,5,.,3,12,4,3,.,0,10,0,0,.,17,3,4,10,.,.
Mockau-Süd,0,.,3,.,.,0,5,18,19,123,89,8,.,8,12,4,.,6,0,0,.,0,0,13,3,0,.,0,0,4,5,.,3,.,3,6,5,.,0,0,.,.,6,0,.,4,0,.,5,.,3,.,0,8,.,0,.,7,7,15,14,4,.
Mockau-Nord,0,.,10,.,.,.,4,42,16,90,244,29,8,25,16,9,6,23,.,.,18,0,.,27,13,.,.,0,.,.,8,.,3,.,.,3,4,.,0,0,7,.,3,0,8,3,0,6,17,3,.,6,.,18,6,.,3,13,20,13,42,.,7
Thekla,0,.,5,7,.,8,0,40,16,33,41,82,15,.,3,15,7,27,5,5,.,0,5,24,4,.,.,.,.,7,.,0,.,0,0,.,5,.,0,0,0,0,4,.,5,5,0,4,8,3,.,0,0,8,5,.,0,4,4,5,11,.,.
Plaußig-Portitz,0,0,.,4,.,0,4,.,0,.,9,5,23,0,3,.,0,5,.,0,.,.,0,.,0,0,0,0,0,0,0,0,.,4,5,0,.,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,.,4,4,0,0,8,0
Neustadt-Neuschönefeld,9,32,76,25,33,12,32,43,13,3,8,3,.,308,154,49,22,31,3,.,6,0,0,86,31,.,.,4,.,47,24,4,22,.,21,29,7,10,0,0,5,10,8,.,12,6,.,20,41,.,13,12,0,7,12,.,.,42,20,5,7,0,7
Volkmarsdorf,6,9,35,9,7,9,29,49,24,17,5,3,.,135,306,52,52,46,3,4,11,0,0,98,34,3,4,.,6,28,18,0,6,3,4,22,6,.,0,0,3,.,15,0,18,13,0,21,31,.,9,5,0,19,3,.,0,17,10,.,6,3,6
Anger-Crottendorf,0,10,48,7,4,5,9,30,10,7,5,.,3,82,46,253,29,29,3,4,13,0,.,184,46,10,4,.,7,35,24,8,11,.,3,17,11,3,.,.,.,.,3,.,3,.,0,8,24,5,10,3,.,10,12,0,.,26,9,4,8,0,.
Sellerhausen-Stünz,0,.,10,7,.,.,14,54,24,.,7,9,.,26,66,36,216,93,4,15,27,.,4,45,21,3,0,.,.,5,7,.,3,.,5,7,8,.,.,0,.,3,4,0,20,5,3,6,10,3,15,.,3,8,6,0,4,12,3,4,12,0,7
Paunsdorf,0,6,8,9,.,5,.,60,26,4,12,6,3,24,42,18,66,497,39,8,32,0,20,43,18,4,5,.,5,.,7,0,13,4,5,12,13,4,.,0,6,3,6,0,11,8,0,6,26,7,14,5,0,21,4,0,7,15,7,3,25,0,.
