name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußig-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,22,6,16,18,15,.,14,.,3,.,3,.,.,11,.,5,0,.,.,0,0,0,0,5,.,0,0,.,.,9,6,.,.,.,3,3,4,.,.,0,0,0,.,.,.,0,0,.,5,0,.,3,3,3,.,.,.,6,14,4,0,0,3
Zentrum-Ost,11,56,26,21,17,9,15,4,.,.,4,.,.,30,7,14,5,3,6,.,3,3,0,30,5,5,.,0,4,22,13,0,6,.,6,6,5,0,.,0,0,0,.,0,4,0,0,11,9,.,8,3,.,7,4,.,3,20,5,.,12,.,.
Zentrum-Südost,14,17,426,67,42,32,38,11,9,3,11,.,3,36,15,22,6,17,.,3,.,0,.,72,26,8,.,4,3,70,25,20,62,25,13,19,6,4,.,0,.,30,47,.,17,15,0,14,17,4,6,7,.,7,.,.,0,25,15,0,11,0,9
Zentrum-Süd,9,12,75,203,74,50,19,6,7,.,3,0,.,33,17,11,.,6,.,8,.,.,0,63,20,6,.,10,4,253,66,5,18,4,43,37,5,4,.,.,0,5,8,.,4,5,0,15,17,4,6,.,4,9,6,.,3,25,14,3,16,3,6
Zentrum-West,27,18,52,51,259,113,41,11,5,0,6,5,.,17,13,12,7,6,0,.,0,0,.,27,13,4,0,.,.,66,23,5,9,6,38,41,9,4,.,0,7,.,10,.,10,.,.,31,30,9,7,6,4,.,6,.,.,44,24,7,17,.,.
Zentrum-Nordwest,13,12,28,26,84,284,38,7,4,3,3,3,.,13,.,10,.,9,.,.,.,0,0,27,18,.,6,.,3,74,17,3,.,0,31,35,7,.,.,0,.,.,4,0,.,.,.,11,19,3,13,5,6,12,7,.,8,61,21,6,12,6,5
Zentrum-Nord,12,17,36,33,34,55,120,10,5,4,4,.,3,20,8,6,5,7,.,.,.,0,0,29,14,.,0,0,.,31,20,3,11,.,19,19,9,0,3,0,.,5,7,.,6,3,.,14,15,.,6,.,0,18,7,.,.,106,51,.,36,3,5
Schönefeld-Abtnaundorf,3,4,14,3,17,6,9,493,82,39,37,21,.,58,83,34,43,55,.,4,15,.,5,48,27,5,.,3,.,18,9,3,6,.,5,11,3,6,3,0,4,.,16,0,11,4,.,10,21,3,20,.,3,19,7,.,8,17,21,10,38,.,8
Schönefeld-Ost,.,8,9,3,0,0,.,83,191,8,18,14,.,20,28,21,21,27,6,4,10,0,4,19,14,0,.,.,.,9,.,0,8,0,.,3,3,0,.,0,0,.,0,.,3,3,0,4,6,.,0,3,0,9,.,0,3,3,7,4,9,.,3
Mockau-Süd,0,3,6,3,.,3,.,68,0,156,82,23,6,15,21,10,11,27,.,5,6,0,0,9,10,3,.,3,0,7,.,.,.,.,0,.,5,.,.,0,0,.,0,.,.,.,0,.,11,.,.,3,.,6,4,0,.,11,10,5,33,7,8
