name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußig-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Mockau-Nord,0,5,3,3,4,7,6,48,27,66,215,41,4,10,25,17,10,17,.,0,3,0,0,15,9,.,.,.,0,5,.,4,3,0,4,4,5,.,0,0,4,6,5,0,7,4,0,.,5,10,6,5,0,16,7,0,10,28,23,17,29,6,6
Thekla,0,3,.,3,.,4,0,35,20,29,34,128,25,8,4,13,8,10,.,0,4,0,4,5,.,0,.,.,.,4,.,.,6,.,3,3,3,0,0,0,.,.,.,.,4,6,0,.,6,.,3,.,0,12,5,0,3,7,8,7,3,.,5
Plaußig-Portitz,.,.,.,0,.,.,0,4,3,.,5,11,21,0,0,.,0,.,0,0,0,0,0,3,.,0,0,0,0,3,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,0,0,.,3,.,3,0,0,3,0,3,0,.,0,0
Neustadt-Neuschönefeld,9,36,54,24,20,16,32,33,21,13,.,.,.,277,143,42,17,40,0,.,8,0,.,129,23,5,3,.,.,31,17,0,.,.,8,13,4,.,0,0,3,7,4,0,17,4,0,9,29,.,10,19,.,10,.,.,3,10,16,.,19,0,9
Volkmarsdorf,.,23,28,10,14,10,16,42,13,.,12,.,.,136,285,54,50,16,.,3,7,0,.,62,24,6,8,.,3,16,17,6,10,3,.,16,8,.,.,0,7,3,8,.,4,6,0,16,19,3,5,4,0,19,8,.,0,20,7,.,17,0,3
Anger-Crottendorf,.,9,26,12,5,.,3,18,5,8,.,.,.,57,72,428,24,23,.,17,10,.,0,156,65,6,7,3,.,34,19,5,7,5,5,10,6,.,0,.,.,12,5,3,5,3,0,4,24,4,18,8,0,7,3,0,0,14,10,4,8,0,.
Sellerhausen-Stünz,3,4,14,4,4,4,8,23,19,3,3,4,4,43,45,38,189,59,5,6,14,.,4,27,20,0,.,0,4,.,.,.,6,3,5,8,5,.,0,0,0,.,6,.,3,4,0,5,7,.,6,.,.,7,6,.,0,12,.,3,6,0,0
Paunsdorf,.,5,11,.,8,.,5,20,20,7,13,5,.,34,50,40,87,462,42,6,39,5,6,56,11,5,3,9,3,12,5,0,4,4,4,5,9,3,0,0,.,.,10,.,5,.,0,15,14,5,7,3,.,21,4,0,.,19,7,6,11,0,5
Heiterblick,0,0,0,5,0,.,0,5,10,.,3,0,0,0,3,4,.,64,44,.,13,0,4,.,4,0,0,.,0,0,7,0,.,.,0,.,.,5,0,0,0,0,.,0,.,.,0,0,.,0,0,.,0,3,0,0,0,.,8,0,.,0,0
Mölkau,0,.,4,.,4,.,.,3,3,0,0,0,.,3,4,34,5,18,0,78,9,4,0,20,29,.,0,.,5,.,8,0,.,0,12,3,.,.,0,0,0,0,.,0,0,.,0,0,.,0,.,.,.,.,.,0,0,5,5,.,.,0,0
Engelsdorf,.,3,3,11,.,0,10,10,11,7,7,7,.,6,8,13,28,60,11,36,275,5,15,25,25,3,0,.,9,3,8,.,.,3,4,.,.,5,.,0,0,.,11,3,8,.,.,3,3,.,.,0,.,5,.,0,3,14,5,8,6,0,0
Baalsdorf,0,0,0,.,0,0,0,0,4,.,0,0,0,0,0,0,.,6,3,5,11,.,3,10,3,.,0,0,9,3,.,0,0,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,0,0,0,3,0,0,0,0,0,.,.,0,0,0,0
Althen-Kleinpösna,0,0,.,.,0,0,0,0,.,.,.,0,0,0,3,.,3,7,0,7,11,.,24,9,.,.,.,3,3,.,0,0,0,.,0,0,.,.,0,.,0,0,.,0,0,.,0,.,.,0,.,0,0,.,0,0,.,0,0,.,.,0,.
Reudnitz-Thonberg,16,23,116,54,54,17,35,45,13,12,10,6,.,124,62,202,23,24,3,17,11,.,3,651,154,23,19,7,13,111,42,17,33,10,17,28,21,8,3,0,5,12,10,3,14,10,.,22,32,10,13,8,.,22,6,0,7,38,22,5,29,3,15
Stötteritz,.,7,33,26,16,15,7,21,11,5,9,5,.,37,29,66,22,20,5,30,21,.,5,187,524,43,12,17,44,46,38,22,27,9,11,24,12,6,4,0,.,.,11,.,5,.,0,14,26,6,8,.,3,16,9,.,.,13,18,.,10,3,.
Probstheida,0,.,5,3,.,.,8,5,6,0,.,0,0,.,3,4,.,7,4,.,.,0,3,19,23,82,17,14,10,16,6,9,22,4,0,4,4,3,0,0,.,.,3,0,0,6,0,4,.,0,.,0,0,.,0,0,0,7,7,3,5,0,3
Meusdorf,20,6,4,.,4,0,.,3,.,0,.,.,0,5,11,8,4,6,0,.,.,0,0,17,7,16,21,19,4,7,4,3,7,4,.,.,3,0,0,0,.,0,3,0,.,.,0,.,3,.,3,0,0,3,0,0,0,6,0,0,.,0,0
Liebertwolkwitz,0,.,6,5,3,4,0,4,3,.,.,.,0,.,.,5,5,.,4,.,7,.,.,16,21,25,12,165,25,4,7,.,.,7,.,.,0,0,.,0,0,0,0,0,.,0,0,0,.,.,.,4,.,0,.,0,0,.,.,.,.,0,.
Holzhausen,0,0,8,3,.,5,4,6,3,0,.,.,0,3,.,5,.,3,0,9,4,5,0,14,26,18,4,23,133,8,9,.,3,3,.,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,.,0,.,.,0,.,5,5,.,.,.,.
Südvorstadt,9,25,89,232,74,50,38,25,9,.,8,0,0,53,16,30,7,12,4,3,14,.,.,113,59,12,5,.,7,908,316,17,31,6,79,61,16,10,.,0,4,3,17,.,15,13,.,25,50,3,18,12,.,23,7,6,3,48,34,6,18,.,8
Connewitz,7,8,46,82,35,19,11,19,.,.,3,.,.,20,17,21,10,13,0,3,6,3,0,61,21,9,3,6,6,429,828,21,44,28,48,39,14,7,.,3,0,3,5,.,7,.,.,19,29,0,5,9,.,9,3,.,0,30,13,10,7,.,3
Marienbrunn,.,.,17,6,.,6,3,0,0,0,4,0,0,0,5,4,0,4,3,3,0,0,0,16,10,.,0,5,.,25,47,89,59,9,4,7,0,0,.,0,.,.,.,0,0,4,0,3,.,0,0,.,0,0,0,.,3,.,6,4,4,.,0
Lößnig,4,3,25,14,7,0,10,5,.,.,.,0,0,7,10,14,.,6,0,3,3,0,.,23,19,13,7,.,3,44,86,64,388,43,.,11,7,0,.,0,8,8,5,0,4,5,3,4,8,4,7,0,.,0,3,0,.,3,10,0,3,0,0
Dölitz-Dösen,0,4,.,11,.,3,.,.,4,0,0,.,0,3,4,.,.,3,0,.,.,.,0,8,13,.,.,0,3,38,57,4,46,92,14,3,3,.,.,0,.,0,4,.,3,3,.,0,.,0,.,0,0,.,0,0,.,6,3,.,.,.,0
Schleußig,3,10,22,39,52,35,13,5,.,.,.,.,0,24,9,8,.,3,0,.,.,0,0,27,13,10,.,3,.,145,64,5,14,.,423,117,50,11,8,.,3,3,7,4,7,6,.,31,36,10,7,3,.,5,.,4,.,31,12,4,9,.,.
Plagwitz,4,9,31,33,51,37,13,12,6,3,7,3,.,25,14,13,8,15,3,4,3,0,0,48,24,.,7,.,.,102,54,7,7,3,193,430,110,26,10,.,9,3,19,7,34,9,3,84,91,29,27,21,6,15,10,.,3,36,27,.,17,0,5
Kleinzschocher,.,6,11,3,4,8,8,5,.,.,8,0,.,10,12,14,14,6,0,.,.,0,.,11,3,.,3,0,.,39,16,.,6,.,65,156,355,70,9,6,9,15,57,10,49,12,.,34,67,15,19,13,3,8,13,4,.,9,12,.,7,.,4
Großzschocher,0,0,.,4,7,4,3,3,.,.,.,0,0,3,.,7,.,10,.,.,0,0,0,7,4,.,.,0,.,6,7,.,8,.,27,41,82,233,25,15,11,4,15,9,30,11,.,18,22,12,3,8,0,7,.,.,0,8,8,0,.,0,.
Knautkleeberg-Knauthain,0,0,.,3,0,4,0,.,0,0,.,.,0,0,4,.,.,0,0,.,0,0,0,0,4,0,0,0,3,0,6,0,4,.,14,11,17,30,85,7,3,.,3,0,5,.,0,10,8,.,0,.,0,.,.,0,3,5,.,.,3,0,0
Hartmannsdorf-Knautnaundorf,0,.,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,.,0,.,4,5,18,13,0,.,0,0,0,0,0,0,.,0,.,0,0,0,5,0,0,0,0,.,0,0,0
Schönau,.,4,7,.,.,.,3,.,.,0,.,0,0,0,.,0,.,4,0,0,0,0,0,7,.,.,.,0,.,4,4,0,.,.,.,3,11,7,.,0,88,17,36,5,21,23,4,16,11,6,9,.,.,4,3,0,0,.,.,3,3,0,.
Grünau-Ost,.,3,5,.,0,0,.,4,5,0,4,0,0,0,.,8,0,5,0,0,.,0,0,3,5,.,.,0,.,.,.,.,4,.,.,15,23,11,.,0,27,131,35,6,31,49,.,7,25,17,7,0,9,.,.,0,0,6,4,4,.,0,3
Grünau-Mitte,.,4,10,.,4,.,.,9,.,4,4,4,0,12,10,6,5,14,0,.,0,0,.,.,14,.,3,.,.,8,4,0,24,.,11,42,32,21,4,0,40,45,319,17,87,52,.,23,46,19,13,19,3,.,.,.,0,10,6,.,4,0,.
Grünau-Siedlung,.,0,.,0,0,0,.,.,4,.,.,.,0,0,0,.,0,.,0,0,0,0,0,.,.,0,0,0,0,9,5,.,0,0,10,5,20,8,.,0,5,8,27,24,27,8,0,4,4,6,6,0,5,3,0,0,.,5,.,.,0,0,0
Lausen-Grünau,0,3,12,6,.,3,6,.,4,0,3,.,0,4,7,13,4,11,0,0,0,0,.,8,12,.,7,0,.,.,.,3,10,.,9,29,36,7,9,0,28,25,43,15,460,45,4,9,24,14,17,7,6,10,10,3,.,0,5,6,5,.,.
Grünau-Nord,.,6,4,.,12,0,.,.,.,.,4,5,0,3,.,.,3,.,.,.,.,0,3,.,4,.,4,.,0,9,.,.,7,.,.,21,13,15,.,0,25,19,43,3,68,301,23,23,35,30,11,5,3,4,4,.,3,8,0,3,3,.,.
Miltitz,.,0,.,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,4,3,0,0,0,.,0,.,0,.,0,0,5,.,.,0,0,.,4,.,0,10,14,25,5,.,0,8,3,.,3,0,0,.,0,3,0,.,0,0
Lindenau,4,7,22,24,29,22,18,12,4,0,.,0,.,20,21,14,8,.,0,0,0,0,0,25,9,.,.,3,5,60,22,3,5,6,58,101,26,6,6,0,6,3,15,0,10,11,.,212,142,33,30,13,.,.,3,.,0,23,16,.,5,0,.
Altlindenau,4,9,18,23,31,32,16,24,5,4,14,.,.,20,23,20,7,19,.,3,.,0,0,41,18,4,4,4,.,34,31,3,7,9,54,110,43,18,4,0,23,20,37,5,37,31,.,138,653,47,111,39,13,12,4,.,4,29,12,4,16,0,6
Neulindenau,.,.,.,7,5,.,.,13,0,0,4,.,0,.,.,.,4,3,0,0,0,0,0,6,4,.,3,0,0,6,.,0,5,0,13,33,19,11,3,0,12,17,16,.,21,27,5,22,78,207,20,5,5,3,.,3,3,13,4,4,4,0,.
Leutzsch,.,4,4,13,16,16,6,10,7,0,8,.,0,4,5,6,3,4,.,0,3,0,0,17,8,.,.,.,.,14,5,0,12,3,15,28,15,7,3,0,7,8,9,.,25,17,3,35,146,33,254,39,16,14,7,.,.,22,8,3,9,4,4
Böhlitz-Ehrenberg,.,.,4,.,6,16,3,5,.,0,4,0,0,6,.,5,.,.,0,0,3,0,0,.,9,0,.,0,0,11,.,.,4,0,11,5,7,3,3,0,3,15,7,.,10,18,3,6,36,21,56,344,35,11,6,5,7,21,9,0,9,0,3
Burghausen-Rückmarsdorf,.,0,.,.,.,4,3,0,3,.,3,0,0,3,.,0,0,.,0,0,0,0,0,9,.,0,0,0,0,3,8,0,0,0,.,5,4,3,.,0,6,4,3,.,6,13,0,8,15,4,12,40,62,3,.,8,0,.,.,.,.,0,.
Möckern,3,3,11,10,9,3,24,13,11,12,20,4,.,3,22,9,5,18,.,0,3,0,0,19,15,3,.,3,.,13,15,.,3,7,5,13,8,4,6,0,8,8,6,4,9,11,0,12,26,.,10,9,.,446,90,15,31,107,82,45,39,5,8
Wahren,0,0,4,7,.,8,9,8,4,0,5,8,0,11,5,3,.,6,0,6,.,0,0,.,5,.,0,.,0,5,7,.,3,.,.,7,7,0,.,0,.,4,4,0,.,0,.,.,9,3,11,13,.,61,142,13,27,46,32,8,19,.,18
Lützschena-Stahmeln,0,0,4,0,0,0,0,5,0,.,0,0,0,0,.,0,0,4,0,0,0,0,0,.,.,.,.,0,0,.,3,3,0,3,0,0,.,.,0,.,0,3,.,0,.,3,.,.,0,0,.,4,0,16,22,61,6,10,5,.,0,0,0
Lindenthal,0,0,4,3,3,5,4,5,.,.,3,.,0,.,.,0,5,.,0,0,.,0,0,13,.,.,0,.,0,.,5,0,0,0,4,5,.,6,3,0,.,9,3,0,.,.,.,3,9,.,.,11,.,41,51,15,215,29,22,8,13,8,13
Gohlis-Süd,8,16,19,22,38,73,78,26,11,7,16,3,.,25,30,18,4,30,0,6,4,0,0,44,25,6,.,3,.,68,21,5,6,.,31,33,9,4,.,.,4,10,16,0,16,8,.,12,32,4,24,13,10,84,34,6,15,431,187,34,56,3,14
Gohlis-Mitte,.,11,27,10,33,34,39,36,8,11,10,.,5,22,31,15,6,15,5,0,.,0,.,41,20,3,.,0,3,32,17,3,3,0,13,22,15,.,.,0,.,0,10,4,7,6,.,12,15,3,16,8,3,74,16,5,19,188,408,77,100,7,23
Gohlis-Nord,0,.,7,5,9,7,13,15,3,8,14,4,0,11,6,5,.,11,3,.,0,0,.,11,11,0,.,0,4,8,24,5,4,5,4,9,8,.,0,0,.,0,.,.,7,5,0,.,8,0,4,3,.,52,24,4,18,45,125,159,43,.,25
Eutritzsch,5,3,16,16,14,18,28,38,9,16,17,3,.,30,18,6,8,18,0,4,8,3,.,22,9,.,.,4,3,21,6,.,.,.,6,20,6,5,4,0,.,.,7,.,7,6,.,7,26,8,14,3,.,54,16,8,7,87,120,37,411,8,45
Seehausen,3,.,.,0,0,4,.,3,.,.,9,5,0,0,0,.,0,.,.,0,.,0,0,4,0,0,0,0,0,7,9,0,.,.,0,0,3,0,0,0,0,0,0,0,0,0,.,0,3,0,4,.,0,6,.,0,14,.,12,.,8,44,3
Wiederitzsch,0,.,4,.,6,4,6,8,.,.,5,.,0,7,.,5,.,.,.,0,0,0,0,15,0,.,3,0,0,4,.,3,.,.,3,.,4,0,0,0,0,0,0,0,4,.,0,3,13,0,.,0,3,30,7,0,27,43,37,19,32,4,117
