name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,22,7,15,7,16,7,8,4,0,0,0,0,0,7,5,.,.,0,0,0,0,0,0,7,3,.,0,.,.,5,.,0,.,.,3,.,0,0,4,0,.,0,.,0,.,0,0,4,.,0,.,.,.,0,.,.,.,11,4,.,4,0,.
Zentrum-Ost,6,44,23,26,20,14,9,7,3,0,6,3,0,23,6,16,3,4,.,0,.,0,0,28,9,6,.,.,.,27,19,4,3,.,9,9,.,5,.,0,.,0,6,0,3,5,0,4,10,0,7,.,0,3,.,0,0,7,10,4,6,0,.
Zentrum-Südost,12,19,358,73,29,25,26,16,7,.,4,.,.,39,22,26,5,9,.,3,7,.,.,65,38,0,3,12,5,62,31,21,85,7,18,29,6,.,.,0,6,19,29,0,8,12,0,21,15,4,12,3,.,9,.,0,.,18,14,4,12,0,3
Zentrum-Süd,19,27,81,204,87,36,32,3,.,.,7,0,0,25,9,18,6,9,.,.,3,0,0,57,29,4,4,.,3,212,79,8,16,4,40,23,7,7,4,0,.,4,10,.,8,4,3,12,26,4,11,4,0,6,7,.,5,36,17,9,8,3,10
Zentrum-West,17,23,57,65,252,85,41,13,4,4,7,6,.,27,16,10,0,6,3,4,.,0,0,38,14,6,3,.,4,87,26,3,10,3,44,25,8,3,.,0,3,7,6,.,10,11,0,22,37,5,8,7,3,7,8,.,.,34,23,.,8,0,6
Zentrum-Nordwest,12,20,26,34,100,252,29,4,5,6,8,4,.,18,8,16,5,4,5,3,.,.,0,23,11,3,.,3,.,41,16,.,.,4,37,22,9,7,3,0,3,.,.,4,7,7,.,14,24,5,13,8,3,10,.,.,7,73,32,7,14,3,7
Zentrum-Nord,11,32,44,20,37,34,114,5,.,3,7,0,0,24,21,9,7,9,.,.,.,.,0,31,9,.,0,.,.,35,13,4,11,.,18,7,5,.,.,.,4,9,4,3,4,5,0,9,15,4,12,.,.,26,15,0,6,77,35,12,31,.,.
Schönefeld-Abtnaundorf,.,13,10,12,9,12,9,485,84,40,40,30,3,94,59,44,30,40,5,8,15,.,4,48,23,3,4,.,5,8,17,3,4,.,8,12,18,4,5,0,7,3,12,.,6,13,0,10,29,.,17,4,.,33,4,0,11,36,20,8,46,3,3
Schönefeld-Ost,0,5,11,6,4,4,3,118,149,5,6,.,0,16,31,13,13,40,5,.,10,.,0,16,12,.,.,0,4,9,4,5,4,.,4,6,3,.,0,0,3,3,3,0,6,3,0,5,.,0,4,.,0,10,0,0,.,6,10,3,3,.,3
Mockau-Süd,0,.,.,.,.,.,10,27,19,98,67,15,.,8,11,6,6,12,4,3,8,0,0,8,7,6,.,0,.,5,5,0,0,.,.,3,6,.,0,0,.,3,.,0,.,0,0,4,5,3,3,5,0,8,7,.,3,17,6,3,38,.,6
