name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Mockau-Nord,0,5,7,6,6,7,3,62,19,108,260,25,11,11,8,5,9,26,.,.,.,0,.,17,11,0,0,3,3,15,4,.,.,.,3,.,8,0,.,0,4,0,13,0,16,.,.,5,12,0,8,.,0,15,9,0,.,12,30,22,30,8,6
Thekla,.,.,0,7,.,0,4,25,17,11,34,107,14,5,8,12,5,12,.,.,.,.,.,7,6,3,.,0,0,0,3,.,.,0,0,0,.,.,.,0,0,.,.,0,5,.,0,0,4,4,3,3,.,5,.,0,0,6,3,4,5,4,6
Plaußig-Portitz,.,0,.,0,0,0,0,4,3,3,9,13,24,.,5,0,7,0,0,0,.,0,0,0,.,0,0,0,0,.,3,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,3,0,.,4,4,0,0,4,0
Neustadt-Neuschönefeld,9,27,51,23,24,10,27,43,18,.,16,5,.,331,147,52,25,27,4,6,.,.,.,95,35,6,6,4,.,25,20,7,18,.,8,16,13,.,3,0,6,6,7,.,23,6,.,14,24,6,4,9,.,17,4,3,3,25,20,4,21,0,4
Volkmarsdorf,.,6,15,7,5,19,18,74,16,9,15,0,.,171,244,60,36,56,.,7,3,3,.,45,22,5,6,.,0,16,12,3,11,0,7,8,5,3,.,0,4,3,8,0,10,7,.,14,31,.,8,3,0,14,7,0,4,6,9,.,15,.,4
Anger-Crottendorf,3,21,35,16,7,.,6,23,5,6,.,.,.,63,75,325,23,25,3,13,18,.,.,205,42,5,.,4,4,19,10,.,13,0,4,10,18,.,.,0,3,.,13,3,12,.,0,15,26,5,7,4,.,8,.,0,0,13,10,4,12,4,5
Sellerhausen-Stünz,0,5,5,3,9,6,4,33,28,4,.,3,3,30,52,33,193,84,11,4,20,5,.,18,26,3,.,.,.,8,6,0,10,0,4,7,9,0,0,0,6,.,7,.,3,.,0,3,7,0,9,0,0,7,.,.,3,22,4,4,6,.,.
Paunsdorf,0,3,17,.,13,.,6,43,23,4,19,7,.,30,29,31,55,514,50,13,32,3,5,24,30,3,3,4,4,12,.,3,7,.,0,7,4,3,.,0,.,.,12,.,7,4,.,.,15,5,6,.,0,13,9,.,5,8,6,9,4,4,3
Heiterblick,0,0,0,0,.,0,0,11,8,0,.,.,0,.,6,3,13,68,56,3,11,0,.,5,3,.,0,0,0,5,7,0,0,.,.,5,0,0,0,0,0,0,7,0,.,0,0,0,.,3,.,.,.,.,0,0,.,0,.,0,.,0,3
Mölkau,0,0,3,3,4,.,0,5,.,0,3,0,0,8,.,25,8,6,.,64,3,.,0,8,36,6,0,0,10,6,.,0,0,.,0,.,0,.,0,0,0,0,.,0,0,0,0,0,0,0,.,5,.,0,0,0,0,7,5,0,3,0,0
Engelsdorf,0,4,.,8,10,0,.,18,7,5,11,.,0,15,9,7,22,39,16,5,241,8,17,20,7,5,4,0,7,9,6,.,3,.,3,0,.,.,.,.,.,3,0,0,5,3,0,.,6,0,5,5,0,3,.,.,4,8,12,.,3,.,3
Baalsdorf,.,0,0,.,4,3,0,5,0,0,.,4,0,0,0,0,4,3,0,11,7,11,0,.,12,0,0,0,9,6,.,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
Althen-Kleinpösna,0,.,0,.,.,0,.,6,11,.,3,0,0,.,.,.,4,3,.,3,20,.,13,9,.,.,0,.,.,0,0,0,.,.,0,0,3,0,0,0,0,.,3,0,0,.,0,.,.,0,4,.,0,0,0,.,0,.,3,.,.,0,0
Reudnitz-Thonberg,15,43,135,56,41,35,35,38,18,18,14,8,.,122,51,155,39,42,6,15,19,.,4,630,184,12,10,9,17,116,71,22,27,9,36,52,12,5,.,.,5,7,18,.,21,13,.,20,38,10,16,5,5,24,6,.,8,53,23,9,23,5,9
Stötteritz,4,8,39,19,18,8,6,20,8,4,8,.,6,29,32,55,20,32,3,35,8,4,.,175,567,40,24,11,31,69,54,19,26,11,16,12,7,4,.,0,.,4,12,.,9,8,.,12,12,5,9,5,.,17,6,.,5,22,25,5,9,0,3
Probstheida,0,0,5,.,.,.,.,9,.,4,.,.,.,6,3,6,3,3,3,.,.,0,.,24,41,119,29,20,15,11,14,.,6,4,0,3,10,3,0,0,0,0,.,0,0,4,0,.,3,0,.,.,0,3,0,0,0,.,5,4,.,0,.
Meusdorf,0,3,3,.,0,3,0,6,.,3,.,.,0,5,0,.,.,7,0,.,4,.,0,16,26,14,20,16,8,8,7,.,8,4,.,7,.,.,0,0,0,0,.,0,.,.,0,.,.,0,4,.,0,3,.,.,0,.,10,0,0,0,0
Liebertwolkwitz,.,.,4,0,3,4,.,0,0,0,5,.,0,.,0,6,.,6,0,4,10,0,9,8,11,20,9,126,16,6,.,.,8,0,5,6,.,.,0,0,0,0,.,0,0,.,0,0,0,0,.,0,.,.,0,0,0,.,0,0,3,.,.
Holzhausen,0,0,3,5,4,.,0,3,3,0,0,.,0,.,0,.,7,4,0,8,4,0,6,27,37,20,15,19,114,13,6,4,6,.,9,7,.,0,.,0,0,0,.,0,3,0,0,4,8,.,11,0,0,.,0,0,.,3,5,.,4,0,.
Südvorstadt,8,28,120,271,77,79,30,18,9,.,8,.,.,26,23,26,16,18,.,9,6,0,4,125,52,10,6,.,8,1021,288,20,35,11,81,59,34,10,6,.,.,3,12,.,8,4,.,24,50,10,18,6,3,18,8,.,4,50,48,6,23,.,6
Connewitz,9,7,52,84,29,16,7,10,9,3,3,3,.,24,20,11,5,11,.,3,4,4,0,58,40,.,10,4,.,396,821,26,50,28,36,47,7,11,8,.,.,.,13,3,6,7,0,20,43,7,9,7,3,16,6,.,.,20,31,4,16,.,5
Marienbrunn,.,0,12,5,.,.,.,3,4,0,3,.,0,4,4,0,4,.,0,.,.,.,0,11,24,3,.,0,.,32,38,95,70,7,5,7,0,.,.,0,0,.,.,0,.,.,0,3,4,.,.,3,.,.,0,0,0,.,0,0,.,0,0
Lößnig,0,.,15,12,.,3,7,8,5,.,6,3,.,11,8,9,5,.,4,3,0,0,0,20,21,7,8,6,5,33,66,55,383,46,5,6,7,.,.,0,4,9,.,0,8,7,0,6,8,.,6,.,.,7,0,3,.,9,6,.,5,.,3
Dölitz-Dösen,0,.,8,8,.,5,.,7,.,0,.,.,0,4,0,5,.,4,.,.,.,.,0,14,12,.,.,.,.,23,48,12,52,99,11,6,7,7,6,.,0,.,.,0,.,5,0,3,.,.,.,5,.,4,.,0,.,7,.,.,4,0,3
Schleußig,8,6,25,56,48,38,16,15,3,.,3,.,.,18,4,18,.,4,3,3,3,0,.,65,14,6,.,0,.,92,41,3,4,0,396,121,38,13,9,0,4,5,6,.,12,.,0,46,37,8,16,9,.,4,0,.,0,28,19,3,6,0,.
Plagwitz,9,18,32,46,55,38,27,12,5,3,6,.,.,15,10,21,5,11,5,.,.,0,5,50,20,3,5,.,.,127,52,9,7,.,184,369,109,21,7,.,7,7,24,3,19,7,6,114,60,15,35,8,3,13,7,5,6,39,18,6,21,.,7
Kleinzschocher,5,5,8,14,10,8,12,15,6,.,4,0,0,.,5,4,3,7,0,.,.,0,0,17,7,0,.,.,0,27,21,0,9,4,109,113,298,66,14,.,10,16,28,10,39,16,4,35,55,19,15,8,.,7,3,0,.,7,10,4,7,0,.
Großzschocher,0,0,7,.,8,3,.,5,4,.,.,0,.,.,4,.,.,10,0,.,0,0,0,6,7,.,3,.,0,14,12,.,.,.,15,38,72,218,18,3,.,4,24,.,22,10,3,19,15,7,15,4,.,.,3,.,6,6,.,.,3,0,.
Knautkleeberg-Knauthain,0,.,0,0,5,3,6,0,3,0,.,0,0,0,.,0,0,.,0,0,.,0,.,.,.,0,.,0,0,24,6,3,0,0,18,10,11,25,65,17,.,4,.,0,5,3,0,.,5,3,6,0,.,0,9,0,.,.,.,0,4,0,0
Hartmannsdorf-Knautnaundorf,0,0,.,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,4,.,0,4,9,3,.,0,0,0,0,.,0,0,.,0,.,0,0,.,0,0,0,.,0,0,0,0,.
Schönau,.,.,.,.,5,0,.,6,6,3,.,0,.,.,4,.,.,5,0,0,0,0,0,.,0,0,5,0,.,.,5,0,0,.,.,11,8,.,0,0,107,20,27,4,24,30,4,7,24,17,8,0,.,.,0,0,3,5,.,0,.,3,.
Grünau-Ost,.,0,.,.,.,0,.,7,.,.,.,.,0,6,4,.,3,7,.,3,0,.,0,4,0,.,3,0,0,4,6,0,4,0,5,6,23,11,.,.,24,127,56,6,20,19,3,11,8,23,13,.,.,4,.,0,3,4,.,5,0,0,.
Grünau-Mitte,.,.,11,7,8,3,7,4,.,.,10,.,.,9,13,13,11,12,0,.,.,0,0,.,5,0,4,.,.,5,6,.,5,0,3,22,33,19,4,0,35,44,319,13,80,44,.,21,43,25,8,13,.,5,3,3,.,11,.,4,.,0,5
Grünau-Siedlung,.,0,.,.,3,0,.,0,0,0,0,0,0,5,0,0,0,.,0,0,0,0,0,.,5,0,0,0,0,.,5,0,0,.,6,3,17,8,0,0,14,7,33,20,25,8,.,0,10,.,8,.,3,.,.,0,0,.,0,0,.,0,0
Lausen-Grünau,0,.,7,3,4,4,11,6,0,.,5,.,0,6,4,7,7,16,.,0,5,0,0,.,9,.,.,.,0,11,10,.,.,0,4,19,36,18,15,.,31,17,59,11,351,42,7,10,29,15,16,13,9,8,4,.,9,10,5,3,7,.,.
Grünau-Nord,0,.,.,0,4,0,3,3,.,3,.,6,0,11,.,6,.,6,0,0,0,0,0,8,5,0,3,.,0,3,5,5,6,3,4,11,19,23,.,0,38,26,67,6,39,253,14,22,13,28,17,18,5,4,3,.,.,11,4,3,12,0,0
Miltitz,0,.,3,0,0,0,.,.,.,0,0,0,0,0,5,0,0,0,.,0,0,0,0,.,.,0,0,0,0,.,.,0,3,0,.,0,.,0,.,0,.,0,8,.,4,14,33,.,.,5,.,0,0,0,0,0,0,8,.,0,.,.,0
Lindenau,0,4,18,26,23,16,13,7,0,.,3,0,.,24,11,11,4,8,0,.,.,0,3,21,6,.,.,.,0,64,45,4,.,.,58,108,39,7,.,.,7,8,7,.,13,15,.,168,143,33,26,8,7,12,3,0,3,22,16,4,10,0,4
Altlindenau,4,9,24,17,39,28,10,10,6,.,11,.,.,34,33,29,10,17,.,3,4,.,.,43,13,.,4,0,.,42,30,7,7,4,55,102,58,14,6,0,17,11,36,4,19,33,4,168,563,53,130,21,10,19,14,.,.,33,23,5,20,.,7
Neulindenau,.,.,5,5,.,4,.,8,4,4,3,.,0,4,.,.,3,3,4,0,.,0,0,6,.,.,3,0,.,12,13,0,3,.,10,24,19,14,.,.,8,16,34,4,25,27,.,57,86,170,17,10,8,10,5,.,.,5,6,0,6,.,0
Leutzsch,.,3,3,5,14,30,11,9,6,0,6,4,0,8,17,7,4,12,0,0,4,.,0,18,8,.,3,0,.,12,8,4,.,.,10,32,19,5,6,0,6,6,7,4,12,10,0,29,178,12,280,36,6,12,6,.,5,24,17,3,7,0,6
Böhlitz-Ehrenberg,.,.,3,.,4,19,.,.,.,.,4,.,0,4,11,6,3,5,.,.,.,0,0,4,.,0,0,0,0,10,10,.,3,4,15,10,6,7,.,0,5,8,9,.,21,12,.,14,39,15,61,343,51,6,17,5,10,12,4,4,3,.,.
Burghausen-Rückmarsdorf,0,0,0,.,0,6,0,.,0,0,0,0,0,.,.,0,0,.,.,.,0,0,0,3,.,0,0,0,0,4,.,0,0,.,.,10,4,0,0,0,4,0,4,5,.,8,.,7,15,13,16,25,72,3,4,.,0,4,3,.,5,.,0
Möckern,3,3,10,.,14,8,24,20,3,4,24,.,.,16,10,7,11,10,.,.,5,0,0,18,11,3,5,0,0,16,15,0,8,.,3,16,13,.,.,0,5,6,7,.,9,5,0,10,28,10,9,13,0,475,92,8,26,109,77,40,23,4,11
Wahren,0,.,4,3,4,10,5,3,.,5,4,.,0,3,7,5,8,10,0,.,.,0,0,.,5,.,.,0,0,5,6,.,0,0,0,.,0,0,.,0,4,.,5,0,5,4,.,6,21,.,11,7,.,82,154,19,48,35,24,13,7,.,8
Lützschena-Stahmeln,0,0,.,0,0,.,5,.,.,0,0,0,.,3,0,0,0,.,0,0,.,.,0,0,0,0,0,0,0,.,6,0,0,0,.,.,.,.,0,0,.,.,0,0,.,.,0,.,.,0,0,.,0,19,14,52,.,15,12,0,.,0,0
Lindenthal,0,.,.,6,.,.,.,6,5,11,6,.,0,.,.,3,3,3,4,.,.,0,0,12,6,0,0,.,0,5,3,3,7,0,3,18,.,0,0,0,0,4,4,.,6,3,0,.,.,0,11,10,.,24,44,7,176,21,14,9,13,.,16
Gohlis-Süd,11,14,23,36,51,87,92,23,9,17,7,6,3,27,19,22,14,28,6,.,5,.,4,50,19,3,4,3,.,43,24,10,13,3,33,32,10,5,.,3,10,13,11,3,13,7,3,17,42,11,22,11,4,88,23,10,15,486,174,56,54,5,11
Gohlis-Mitte,6,10,19,14,22,28,49,27,4,10,20,3,.,17,15,10,10,8,.,.,3,0,4,18,21,0,.,0,4,24,22,.,10,5,9,21,15,3,.,.,11,3,11,.,8,11,3,9,31,.,17,9,.,52,21,7,23,207,429,69,87,4,21
Gohlis-Nord,.,0,6,8,.,5,8,19,4,11,18,.,0,4,3,9,3,9,3,0,.,0,.,13,5,.,3,.,.,3,5,.,4,.,.,4,3,5,0,0,4,4,.,.,.,5,0,.,7,.,4,.,0,49,11,.,10,58,79,214,41,7,21
Eutritzsch,3,9,23,14,12,24,31,38,16,9,20,5,.,30,24,30,8,17,.,3,6,0,3,24,13,3,.,0,.,34,15,5,6,.,8,14,8,6,3,0,.,.,5,0,8,.,.,17,23,5,13,4,.,42,9,3,12,93,145,46,452,4,36
Seehausen,0,5,0,0,0,5,5,.,0,4,.,9,12,.,0,3,0,.,.,.,.,0,0,.,4,0,0,0,0,.,.,0,.,0,0,0,0,3,0,0,3,.,0,0,0,0,.,0,.,0,0,0,0,.,0,0,3,6,4,0,8,42,9
Wiederitzsch,0,.,.,0,.,4,4,8,13,.,3,3,.,5,3,5,4,.,0,3,0,0,0,7,.,.,0,.,0,17,4,0,.,.,.,.,0,.,0,0,0,0,.,0,.,6,0,.,6,4,.,.,.,17,11,.,20,19,43,39,40,5,154
